Date,Week,Hols,Day
2019-12-09,50,,1
2019-12-10,50,,2
2019-12-11,50,,3
2019-12-12,50,,4
2019-12-13,50,,5
2019-12-14,50,,6
2019-12-15,50,,7
2019-12-16,51,,1
2019-12-17,51,,2
2019-12-18,51,,3
2019-12-19,51,,4
2019-12-20,51,,5
2019-12-21,51,,6
2019-12-22,51,,7
2019-12-23,52,,1
2019-12-24,52,1,2
2019-12-25,52,1,3
2019-12-26,52,,4
2019-12-27,52,,5
2019-12-28,52,,6
2019-12-29,52,,7
2019-12-30,53,,1
2019-12-31,53,1,2
2020-01-01,53,1,3
2020-01-02,53,,4
2020-01-03,53,,5
2020-01-04,53,,6
2020-01-05,53,,7
