Shift numeric,Shift Code,Type,Work hours,Start,End
0,DO,Nil,0,0,0
1,M1,Morning,8,800,1700
2,M2,Morning,7,800,1600
3,A1,Afternoon,8,1300,2200
4,A2,Afternoon,7,1400,2200
5,M3,Half,4,800,1200
