names,openprice,high_low,close,prevclosedate,marketcap,sharesoutstanding,p_float,avgvolume,normalizedeps,mthvwap,unadjvwap,adjvwap,peratio,price_sales,price_cf,pricebookvalue,dividend,divident_5_yr_avg,debt,long_term_debt_equity,enterprisevalue,assets,cash,roe,roa,capex,ebit,revenue,operating_income,operating_margin,netincome,net_profit_margin,revenue_per_share_5_yr_growth,eps_per_share_5_yr_growth,ebita,industry
Yeo Hiap Seng,0.745,0.725 - 0.700,0.725,mar_26_2020,391.44M,579.91M,-,0.37M,0.01,-,SGD 0.88561,SGD 0.88561,23.553707142857146,1.21652418367347,12.481942857142858,0.636,2.963,1.800,-274.01M,3.112,117.43M,717.57M,295.75M,2.833,2.481,-16.42M,-,364.35M,24.10M,6.614,17.69M,4.855,-3.770,-9.546,15.20M,Food & Beverages / Food Processing / 
Tritech,0.012,0.012 - 0.012,0.012,mar_26_2020,11.34M,944.87M,-,207.27M,-0.00,-,SGD 0.02761,SGD 0.02762,-,0.326,-,0.289,-,-,11.70M,1.355,39.34M,107.87M,6.55M,-20.695,-5.690,-1.98M,-,34.78M,-5.29M,-10.431,-5.26M,-15.566,-9.533,-,-5.35M,Industrial & Commercial Services / Construction & Engineering / 
Sarine Tech,0.180,0.181 - 0.173,0.181,mar_26_2020,61.19M,350.60M,-,23.61M,-0.01,-,SGD 0.34856,SGD 0.34856,-,0.8909485783019813,14.5321387283237,0.704,6.472,3.309,-32.53M,9.620,28.66M,77.14M,29.47M,-2.194,-1.793,-0.83M,-,74.37M,1.10M,2.145,-1.99M,-2.673,-10.021,-,7.96M,Industrial Goods / Industrial Machinery & Equipment / 
Moya Asia,0.050,0.052 - 0.046,0.051,mar_26_2020,205.98M,4.20B,-,158.38M,0.00,-,SGD 0.07682,SGD 0.07682,13.483695652173914,1.1826559546313802,4.317391304347827,0.719,-,-,133.38M,70.134,339.36M,644.29M,113.14M,5.989,2.650,-7.38M,-,205.79M,58.03M,28.200,16.63M,8.244,37.809,-,89.35M,Industrial & Commercial Services / Environmental Services & Equipment / 
TEE Intl,0.025,0.026 - 0.024,0.026,mar_26_2020,14.91M,646.88M,-,154.70M,-0.03,-,SGD 0.05042,SGD 0.05041,-,0.041232638888888895,-,0.348,-,-,86.35M,205.474,262.59M,653.19M,61.04M,-21.873,-7.736,-2.68M,-,395.95M,-13.86M,-8.804,-34.61M,-12.218,9.270,-,-19.40M,Industrial & Commercial Services / Construction & Engineering / 
GDR Kakao Corp US$ R,﹣,-,-,mar_26_2020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Sen Yue,0.020,0.019 - 0.017,0.018,mar_26_2020,18.70M,984.28M,-,63.38M,0.00,-,SGD 0.03098,SGD 0.03098,703.7033333333333,0.09506172839506173,6.36,0.375,-,-,40.79M,6.666,59.49M,122.88M,21.41M,0.049,0.017,-,-,243.44M,3.77M,1.548,0.02M,0.009,54.022,-56.997,7.02M,Mineral Resources / Iron & Steel / 
LY Corp,0.180,0.170 - 0.150,0.170,mar_26_2020,-,-,-,-,-,-,SGD 0.18281,SGD 0.18281,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
IS ASIA HYG S$D,12.780,-,-,mar_26_2020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
DLC SG5xShortWilmar A,0.425,-,-,mar_26_2020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
