name,openPrice,high_low,close,prevCloseDate,marketCap,sharesOutstanding,float,normalizedEPS,mthvwap,unadjVWAP,adjVWAP,peratio,price/Sales,price/CF,pricebookvalue,dividend,divident_5_yr_avg,debt,long term debt/equity,enterpriseValue,assets,cash,roe,roa,capEx,EBIT,revenue,operating_income,operating_margin,netincome,net_profit_margin,revenue_per_share_5_yr_growth,eps_per_share_5_yr_growth,ebita
MYP,0.110,0.140,-,30 Jun 2019,222.95M,1.59B,12.98%,0.00,0.19M,SGD 0.14093,SGD 0.14093,197.43561538461537,6.5003491124260355,183.68646153846154,0.634,-,-,353.30M,101.67M,784.04M,"1,102.65M",20.34M,1.140,0.094,-0.07M,-,24.56M,23.37M,79.348,0.96M,3.893,11.979,-41.910,-
Ossia Intl,0.100,0.090,-,30 Jun 2019,22.74M,252.63M,20.80%,0.02,0.58M,SGD 0.09358,SGD 0.09352,4.823863636363637,1.0860020661157026,4.084090909090909,0.579,8.889,0.415,3.59M,4.94M,23.92M,49.22M,4.69M,11.486,10.394,-0.76M,-,27.02M,1.80M,5.665,5.36M,19.853,-,-,-
Vallianz,0.128,0.171,-,30 Jun 2019,95.90M,559.35M,16.10%,0.08,1.54M,SGD 0.21704,SGD 0.21704,4.8235789473684205,0.2134777880373448,2.992654970760234,0.255,-,-,354.30M,63.73M,376.50M,590.89M,39.30M,7.867,0.931,-5.57M,-,251.40M,29.93M,13.174,14.29M,3.211,-,-,-
Fragrance,0.125,0.141,-,30 Jun 2019,947.52M,6.71B,11.96%,0.04,3.14M,SGD 0.13627,SGD 0.13627,3.199640287769784,2.348480927488225,3.1861510791366907,0.721,1.418,0.739,"1,252.53M",84.81M,"2,206.69M","2,823.28M",130.90M,22.027,10.389,-0.64M,-,326.23M,307.96M,94.399,266.02M,81.407,-6.978,7.134,-
Wee Hur,0.210,0.235,-,30 Jun 2019,219.94M,919.25M,33.49%,0.03,5.23M,SGD 0.21134,SGD 0.21134,7.720851063829788,0.5981149841557267,5.637829787234043,0.591,3.404,4.198,11.73M,3.32M,223.98M,767.64M,176.35M,6.961,4.096,-4.40M,-,293.69M,49.09M,16.714,25.01M,11.302,-2.370,3.875,-
FJ Benjamin,0.030,0.035,-,30 Jun 2019,31.85M,909.94M,41.27%,-0.00,3.11M,SGD 0.03274,SGD 0.03274,-,0.1728373702422145,12.02911764705882,0.605,-,-,10.85M,1.39M,44.68M,109.43M,9.30M,-2.587,-0.684,-2.74M,-,143.28M,3.07M,3.834,-0.78M,-0.543,-13.991,-,-
Lung Kee Bermuda,0.600,0.615,-,30 Jun 2019,"2,210.87M",631.68M,27.81%,0.27,3.24M,SGD 0.57804,SGD 0.57804,12.752459016393443,0.8291319537758667,6.207540983606557,1.020,6.857,7.506,-645.78M,-,"1,565.09M","2,630.09M",645.78M,7.564,6.221,-86.34M,-,"2,580.45M",236.78M,9.176,170.52M,6.608,3.047,3.271,-
MindChamps,0.620,0.675,-,30 Jun 2019,163.08M,241.60M,19.36%,0.03,1.21M,SGD 0.58871,SGD 0.58871,23.285558823529414,3.66776124567474,19.31026470588235,2.685,1.985,-,-14.51M,24.84M,148.57M,93.73M,35.44M,10.872,7.866,-1.08M,-,36.96M,7.60M,20.555,6.38M,17.551,-,-,-
Nam Lee Metal,0.375,0.360,-,30 Jun 2019,87.32M,242.54M,34.47%,0.05,1.84M,SGD 0.37766,SGD 0.37766,9.330208333333335,0.6846788194444445,6.822916666666667,0.610,5.556,3.710,-40.89M,0.47M,43.88M,172.57M,45.29M,8.768,5.784,-7.29M,-,138.32M,13.58M,8.407,9.77M,7.060,-1.870,5.998,-
AsiaPhos,0.007,0.008,-,30 Jun 2019,8.25M,1.03B,28.96%,-0.01,8.80M,SGD 0.00908,SGD 0.00908,-,0.23169135802469143,-,0.109,-,-,3.85M,-,12.10M,114.42M,2.46M,-16.672,-10.991,-0.01M,-,21.53M,-13.99M,-64.985,-13.91M,-64.595,14.691,-,-
