names,openprice,high_low,close,prevclosedate,marketcap,sharesoutstanding,p_float,avgvolume,normalizedeps,mthvwap,unadjvwap,adjvwap,peratio,price_sales,price_cf,pricebookvalue,dividend,divident_5_yr_avg,debt,long_term_debt_equity,enterprisevalue,assets,cash,roe,roa,capex,ebit,revenue,operating_income,operating_margin,netincome,net_profit_margin,revenue_per_share_5_yr_growth,eps_per_share_5_yr_growth,ebita,industry
SGX,9.090,9.040 - 8.820,8.92,apr_05_2020,"9,559.05M",1.07B,-,97.31M,0.36,-,SGD 8.74597,SGD 8.75198,23.355713970985757,10.321485202478518,19.70752625231106,8.88,3.415605586403066,3.860456983501642,-652.80M,-,"9,088.76M","2,132.29M",470.29M,35.764,24.115,-47.35M,-,955.29M,461.02M,51.829,416.76M,43.627,5.785,4.068,571.61M,Banking & Investment Services / Financial & Commodity Market Operators / 
Wilmar Intl,3.140,3.220 - 3.060,3.07,apr_05_2020,"19,658.44M",6.34B,-,139.72M,0.28,-,SGD 3.82486,SGD 3.82154,10.350225,0.3110010543998585,6.129868750000001,0.814,3.99565,2.77988125,"27,602.91M",32.33,"47,261.35M","47,048.61M","4,361.41M",7.73,2.861,"-1,813.22M",-,"60,839.49M","1,530.47M",3.589,"1,809.17M",3.112,-0.022,2.053,"4,005.56M",Food & Beverages / Food Processing / 
Keppel Corp,5.370,5.350 - 5.180,5.24,apr_05_2020,"9,539.72M",1.82B,-,95.24M,0.4,-,SGD 6.2293,SGD 6.22329,13.634168534801512,1.2731858034027572,8.441157302982987,0.849,3.838443820604915,3.7801179777448013,"9,751.98M",62.747,"19,291.70M","31,321.56M","1,905.10M",6.29,2.629,-516.79M,-,"7,579.70M",876.50M,11.564,706.98M,10.042,-10.554,-17.738,"1,291.34M",Industrial Conglomerates / Industrial Conglomerates / 
JMH USD,48.960,USD 48.720 - 46.000,USD 47.000,apr_05_2020,"34,435.20M",373.98M,-,6.80M,4.23,-,USD 54.04289,USD 53.63954,6.080832,0.80637825024,7.6093632,0.586,3.5838719999999995,2.6918208,"12,213.00M",39.317,"46,648.20M","97,028.00M","7,212.00M",10.06,4.78,"-1,562.00M",-,"40,922.00M","4,735.00M",11.571,"2,838.00M",10.933,0.281,10.426,"5,261.00M",Industrial Conglomerates / Industrial Conglomerates / 
ST Engineering,2.930,3.030 - 2.930,2.97,apr_05_2020,"9,273.81M",3.12B,-,137.31M,0.18,-,SGD 3.86188,SGD 3.85578,15.69350830836066,1.1171617423331581,9.39449501690492,4.164,4.916754153219673,4.035807309436066,"1,883.87M",21.1,"11,157.68M","9,521.28M",453.83M,25.867,6.934,-394.56M,-,"7,868.28M",653.99M,8.312,577.95M,7.532,3.638,1.545,"1,022.24M",Industrial Goods / Aerospace & Defense / 
Sasseur Reit,0.535,0.605 - 0.570,0.575,apr_05_2020,689.24M,1.20B,-,95.88M,0.11,-,SGD 0.77657,SGD 0.79514,4.8462083330176995,4.6432055556551814,-,-,10.10436666982301,-,-,44.382,"1,013.15M","1,770.43M",154.69M,11.772,-,-,-,118.02M,107.91M,91.438,126.15M,106.889,-,-,107.91M,Real Estate / Commercial REITs / 
Keppel DC Reit,2.320,2.230 - 2.070,2.23,apr_05_2020,"3,641.11M",1.63B,-,181.11M,0.08,-,SGD 2.11423,SGD 2.11281,31.87549296,22.171895699999997,-,1.949,3.290478873,4.921014085,764.84M,47.133,"4,405.95M","2,927.99M",155.88M,6.43,4.284,-8.71M,-,194.83M,123.70M,63.491,106.50M,57.028,18.085,16.102,156.75M,Real Estate / Commercial REITs / 
HSI25400MBeCW200428,0.073,-,-,apr_05_2020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
ACH ADR US$,13.290,-,-,apr_05_2020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
ComfortDelGro,1.430,1.540 - 1.480,1.48,apr_05_2020,"3,206.26M",2.17B,-,265.82M,0.13,-,SGD 2.09592,SGD 2.09124,11.376026313741496,0.7266546481551205,4.05480263137415,1.235,6.22332236862585,3.908980262748299,243.70M,22.478,"3,449.96M","5,379.00M",594.20M,10.179,6.052,-506.70M,-,"3,905.70M",415.80M,10.646,265.10M,8.147,-0.955,-1.558,841.50M,"Transportation / Passenger Transportation, Ground & Sea / "
Suntec Reit,1.140,1.300 - 1.200,1.24,apr_05_2020,"3,485.82M",2.81B,-,311.14M,0.13,-,SGD 1.68897,SGD 1.68622,8.337784615830506,7.309288757076126,7.720430769305083,0.581,5.851707692084745,4.210107692084746,"3,473.04M",50.875,"6,958.86M","10,032.37M",157.21M,6.725,4.043,-0.63M,-,366.73M,410.97M,112.063,390.53M,107.734,2.252,0.71,184.20M,Real Estate / Commercial REITs / 
CapitaCom Trust,1.330,1.520 - 1.460,1.49,apr_05_2020,"5,754.20M",3.86B,-,357.17M,0.11,-,SGD 1.91704,SGD 1.91608,11.405625003356164,10.684296874678177,11.54474999952055,-,4.3207499996643834,3.8272499997602742,-,38.521,"8,359.24M","10,190.75M",205.47M,6.165,-,-0.08M,-,412.35M,303.15M,73.518,433.91M,105.708,5.185,-4.812,294.81M,Real Estate / Commercial REITs / 
SATS,2.820,3.360 - 3.150,3.2,apr_05_2020,"3,596.98M",1.12B,-,88.23M,0.23,-,SGD 4.21051,SGD 4.2023,13.470988028145694,1.2952697122014825,8.802790418781457,2.211,5.013520957748344,3.1636347305165566,86.90M,5.796,"3,342.85M","2,408.43M",349.86M,15.132,9.561,-87.64M,-,"1,979.62M",235.43M,11.898,224.61M,11.928,0.572,6.729,345.60M,Transportation / Airport Services / 
CityDev,6.710,7.270 - 6.920,7,apr_05_2020,"6,365.11M",906.90M,-,55.57M,0.5,-,SGD 9.80873,SGD 9.78542,10.986234804859551,1.5942112881070356,6.7303895026530896,0.603,1.8535911604761235,1.2613687845772472,"6,558.02M",74.738,"12,923.13M","23,200.26M","3,360.33M",5.454,2.783,-218.93M,-,"3,428.73M",653.93M,19.072,551.67M,17.889,-1.799,-5.961,850.64M,Real Estate / Real Estate Development & Operations / 
UOL,6.360,6.690 - 6.360,6.41,apr_05_2020,"5,407.04M",843.53M,-,38.75M,0.54,-,SGD 7.53294,SGD 7.52147,10.734044847889908,2.140147438700109,5.912233183743119,0.538,2.5953363231926607,2.202708519834862,"4,234.21M",32.432,"9,641.25M","20,653.77M",717.38M,4.869,3.289,-330.11M,-,"2,283.34M",784.55M,34.36,478.82M,29.727,9.194,-8.376,821.36M,Real Estate / Real Estate Development & Operations / 
