names,openprice,high_low,close,prevclosedate,marketcap,sharesoutstanding,p_float,avgvolume,normalizedeps,mthvwap,unadjvwap,adjvwap,peratio,price_sales,price_cf,pricebookvalue,dividend,divident_5_yr_avg,debt,long_term_debt_equity,enterprisevalue,assets,cash,roe,roa,capex,ebit,revenue,operating_income,operating_margin,netincome,net_profit_margin,revenue_per_share_5_yr_growth,eps_per_share_5_yr_growth,ebita,industry
DLC SG5xShortVenture A,0.855,-,-,apr_05_2020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
TheHourGlass,0.520,0.545 - 0.525,0.545,apr_05_2020,384.23M,705.01M,-,3.38M,0.1,-,SGD 0.71748,SGD 0.7065,4.748370370766355,0.4719945133905145,3.4974814811214956,0.648,5.301111111327104,3.112296296224299,-42.17M,-,218.23M,649.14M,180.97M,13.197,10.907,-19.11M,-,755.53M,82.05M,12.324,77.91M,10.472,1.093,5.095,119.78M,Retailers / Apparel & Accessories Retailers / 
Interra Resource,0.042,0.036 - 0.034,0.035,apr_05_2020,20.75M,593.00M,-,328.09M,0,-,SGD 0.07395,SGD 0.07395,-,1.3363200006228373,11.637600000352942,0.54,-,-,-1.93M,0.438,18.82M,40.32M,2.78M,-1.776,-1.438,-6.75M,-,22.37M,0.12M,0.759,-0.68M,-3.674,-26.541,-,7.26M,Energy - Fossil Fuels / Oil & Gas Exploration and Productio / 
Trendlines,0.083,0.074 - 0.069,0.071,apr_05_2020,56.17M,791.19M,-,272.20M,0,-,SGD 0.11277,SGD 0.11277,-,10.357374921217119,570.5949275082193,0.396,-,-,-17.89M,5.722,38.29M,125.48M,18.66M,-0.511,-0.59,-0.24M,-,7.85M,-2.63M,-47.855,-0.68M,-12.636,-9.296,-,-2.65M,Banking & Investment Services / Investment Management & Fund Operators / 
CNMC Goldmine,0.155,0.150 - 0.144,0.148,apr_05_2020,60.34M,407.69M,-,25.02M,0.02,-,SGD 0.25269,SGD 0.25269,9.833200000000001,1.155335555671096,4.29866666700658,0.945,1.7453,1.4683666670065791,-21.48M,1.734,38.86M,63.46M,16.02M,10.279,8.877,-8.78M,-,55.79M,6.41M,16.389,6.34M,13.996,3.364,-18.351,15.83M,Mineral Resources / Gold / 
DBS MB eCW210201,0.057,-,-,apr_05_2020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Penguin Intl,0.385,0.415 - 0.395,0.4,apr_05_2020,88.07M,220.17M,-,11.86M,0.07,-,SGD 0.65744,SGD 0.66836,4.209024096784809,0.5559782264840569,2.772927710620253,0.525,-,1.912939759012658,-57.50M,0.614,30.57M,230.47M,59.90M,12.138,8.881,-22.29M,-,136.34M,19.96M,14.641,19.42M,14.24,-3.726,-8.32,25.14M,"Transportation / Passenger Transportation, Ground & Sea / "
China Everbright,0.225,0.230 - 0.210,0.22,apr_05_2020,"1,303.44M",2.86B,-,20.92M,0.06,-,SGD 0.3097,SGD 0.30968,4.158837209,1.3974580849999998,7.549534883999999,0.388,6.279069767,1.7298837209999998,"1,293.24M",80.368,"2,600.83M","22,683.03M","2,052.25M",9.926,4.186,-17.89M,-,"1,021.73M","1,529.40M",27.553,153.42M,15.939,30.271,15.118,299.52M,Utilities / Water Utilities / 
DLC SG5xShort CapLand,0.290,-,-,apr_05_2020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
DLC SG5xShort AIA,0.255,-,-,apr_05_2020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
XT Vietnam US$,22.000,-,-,apr_05_2020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Straits Trading,1.550,1.570 - 1.540,1.56,apr_05_2020,636.63M,407.68M,-,1.38M,0.21,-,SGD 2.00558,SGD 1.98299,7.487692307305195,1.728623232889189,5.833365384383118,0.418,3.821346154155844,2.651891025357143,497.68M,43.56,"1,134.31M","2,649.19M",376.36M,5.65,3.841,-10.25M,-,363.64M,16.97M,4.666,84.37M,27.597,-13.794,32.677,25.06M,Mineral Resources / Specialty Mining & Metals / 
GSH,0.190,0.225 - 0.205,0.22,apr_05_2020,434.95M,1.96B,-,1.22M,0.01,-,SGD 0.30264,SGD 0.30264,48.96904545707317,2.110805785273052,17.309863638048782,1.1,-,0.6917727276097562,392.33M,81.074,827.27M,"1,163.89M",121.35M,1.979,0.904,-9.58M,-,153.71M,25.61M,16.661,7.60M,6.499,29.449,-32.224,51.12M,"Cyclical Consumer Services / Hotels, Motels & Cruise Lines / "
Tuan Sing,0.200,0.215 - 0.200,0.205,apr_05_2020,244.88M,1.19B,-,8.66M,0.03,-,SGD 0.29051,SGD 0.29051,6.813023256281407,0.6818820979268199,5.592558139698492,0.22,2.722790697487437,1.6046511628140703,"1,539.17M",129.445,"1,795.40M","2,997.34M",160.93M,3.029,1.106,-7.10M,-,310.69M,42.04M,13.531,33.21M,10.518,-2.809,-11.672,48.21M,Real Estate / Real Estate Development & Operations / 
OCBC Bk MB eCW210301,0.084,-,-,apr_05_2020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
S&P 2000MBePW200918,0.265,-,-,apr_05_2020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Tianjin ZX USD,0.555,USD 0.575 - 0.555,USD 0.565,apr_05_2020,"8,196.53M",772.80M,-,112.30M,0.74,-,USD 0.78595,USD 0.78595,16.10384071,1.155003289,-,1.907,1.673840708,1.173849558,"-1,303.21M",-,"6,952.54M","7,105.31M","1,508.37M",11.946,8.435,-175.81M,-,"6,847.29M",641.55M,10.691,605.84M,9.021,0.329,8.936,537.30M,Pharmaceuticals / 
SingMedical,0.195,0.200 - 0.190,0.196,apr_05_2020,94.67M,482.88M,-,21.12M,0.03,-,SGD 0.31112,SGD 0.31112,6.919070351414635,0.9602030247323023,4.095,0.648,-,-,-4.37M,7.784,90.31M,197.89M,27.32M,9.873,7.181,-2.14M,-,94.67M,17.20M,18.168,13.66M,14.402,10.636,140.703,26.08M,Healthcare Services / Healthcare Facilities & Services / 
DLC SG5xLong UOB,0.200,-,-,apr_05_2020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
EnGro,0.835,0.830 - 0.830,0.83,apr_05_2020,98.52M,118.64M,-,0.19M,0.08,-,SGD 0.92563,SGD 0.92563,8.968704819277109,0.7600754463637684,6.04821686746988,0.417,-,2.696144578313253,-33.44M,2.041,65.08M,264.47M,42.01M,4.732,4.245,-0.75M,-,131.26M,-1.67M,-0.791,11.05M,8.437,-5.466,-3.419,3.19M,Mineral Resources / Construction Materials / 
APAC Realty,0.295,0.300 - 0.285,0.3,apr_05_2020,106.56M,355.20M,-,5.51M,0.04,-,SGD 0.47179,SGD 0.47158,7.604999999916666,0.2919999999747222,6.269999999566666,-,6.667,-,-,37.845,134.19M,295.14M,32.02M,9.711,-,-1.24M,-,365.11M,18.45M,5.077,14.01M,3.801,11.352,2.742,21.66M,Real Estate / Real Estate Services / 
XT ASX200 US$,28.100,-,-,apr_05_2020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
DLC SG5xLong SGX,0.425,-,-,apr_05_2020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
SPDR DJIA US$,214.000,-,-,apr_05_2020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
UOB MB eCW210201,0.108,-,-,apr_05_2020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
JEP,0.148,0.150 - 0.145,0.15,apr_05_2020,62.09M,413.94M,-,9.45M,0.02,-,SGD 0.21077,SGD 0.20954,9.530000000107385,0.6980000002385479,4.741000000214766,1.034,-,-,28.73M,55.539,90.82M,119.63M,11.94M,11.62,5.625,-0.97M,-,88.96M,8.74M,9.821,6.52M,7.327,0.37,-,15.39M,Industrial Goods / Aerospace & Defense / 
Sri Trang Agro,0.445,0.465 - 0.450,0.46,apr_05_2020,-,-,-,-,-,-,SGD 0.47743,SGD 0.47743,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
IFAST,0.775,0.800 - 0.790,0.795,apr_05_2020,214.97M,270.18M,-,3.23M,0.03,-,SGD 0.97776,SGD 0.97776,22.18146875,1.608548828125,9.254468750000001,2.372,3.8381875,2.7793437500000002,-25.03M,11.942,189.94M,157.17M,43.96M,10.836,5.905,-12.11M,-,125.41M,11.18M,8.913,9.52M,7.42,4.595,-2.77,23.02M,Banking & Investment Services / Financial & Commodity Market Operators / 
XT MSPacXJp US$,4.630,-,-,apr_05_2020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
F & N,1.200,1.270 - 1.230,1.23,apr_05_2020,"1,783.61M",1.45B,-,2.37M,0.1,-,SGD 1.64123,SGD 1.64074,10.928503933884297,0.8195920395601394,6.004724409917356,0.611,4.225511810578513,2.1581102360330577,499.82M,27.969,"2,192.96M","4,719.35M",420.33M,5.306,4.708,-176.06M,-,"1,943.16M",169.49M,8.88,154.18M,11.053,-1.95,-,230.32M,Food & Beverages / Food Processing / 
XT CSI300 US$,9.810,-,-,apr_05_2020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Synagie,0.079,0.083 - 0.080,0.081,apr_05_2020,24.66M,304.48M,-,71.08M,-0.03,-,SGD 0.12677,SGD 0.12677,-,1.154163739,-,4.752,-,-,-1.29M,2.345,23.37M,14.89M,1.59M,-126.331,-44.891,-0.45M,-,19.36M,-8.52M,-44.001,-8.45M,-43.655,-,-,-7.64M,Software & IT Services / Internet Services / 
Far East Orchard,0.960,0.985 - 0.940,0.97,apr_05_2020,425.21M,438.36M,-,1.61M,0.06,-,SGD 1.12622,SGD 1.12622,15.88921827,2.588430518999999,8.212142132,0.34,6.028994923999999,4.243492386,460.82M,29.683,886.03M,"2,530.83M",257.43M,2.071,1.103,-0.86M,-,156.06M,29.93M,19.179,26.03M,16.519,-14.869,-7.892,65.17M,"Cyclical Consumer Services / Hotels, Motels & Cruise Lines / "
DLC SG5xLong SIA,0.018,-,-,apr_05_2020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
XT MSPHILS US$,1.301,-,-,apr_05_2020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Sino Grandness,0.013,0.012 - 0.011,0.011,apr_05_2020,12.64M,1.15B,-,72.73M,0.04,-,SGD 0.03626,SGD 0.03626,2.155833333333333,0.02347222222222222,0.3845833333333333,0.018,-,-,81.04M,0.071,73.76M,"4,614.93M",621.79M,4.865,0.642,-172.65M,-,635.54M,386.90M,7.572,6.43M,1.001,0.249,-19.059,103.95M,Food & Beverages / Non-Alcoholic Beverages / 
Straco,0.460,0.490 - 0.460,0.48,apr_05_2020,417.09M,862.68M,-,3.30M,0.04,-,SGD 0.61222,SGD 0.61222,10.433375000000002,3.5193194441839344,7.954166666989474,1.436,4.9910000000000005,3.011083333010527,-129.44M,19.76,287.64M,409.08M,199.45M,13.321,10.313,-5.73M,-,108.84M,59.11M,54.312,38.09M,37.054,3.254,0.123,71.12M,Cyclical Consumer Services / Leisure & Recreation / 
STI 2600MBePW201030,0.184,-,-,apr_05_2020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
HSI24400MBePW200428,0.285,-,-,apr_05_2020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Broadway Ind,0.059,0.062 - 0.060,0.06,apr_05_2020,28.31M,468.15M,-,306.86M,-0.03,-,SGD 0.10536,SGD 0.10536,-,0.08331217452128996,-,0.454,-,-,27.89M,10.446,56.20M,193.57M,8.72M,-20.51,-7.73,-6.67M,-,306.85M,-13.03M,-4.359,-15.30M,-5.02,-16.424,-,1.63M,Industrial Goods / Industrial Machinery & Equipment / 
UOB MB ePW201230,0.385,-,-,apr_05_2020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Addvalue Tech,0.019,0.020 - 0.019,0.019,apr_05_2020,35.54M,1.87B,-,168.76M,0,-,SGD 0.0282,SGD 0.0282,-,4.8319849999999995,-,5.666,-,-,7.65M,1.696,39.80M,13.83M,0.15M,-64.516,-21.6,-2.78M,-,6.64M,-3.38M,-48.743,-4.58M,-68.936,-27.841,-,-2.19M,Technology Equipment / Communications & Networking / 
HAIDILAO MBeCW200602,0.012,-,-,apr_05_2020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
UIC,2.090,2.160 - 2.110,2.12,apr_05_2020,"3,037.25M",1.43B,-,2.74M,0.24,-,SGD 2.52389,SGD 2.71776,4.971426540424528,3.774416725044143,4.156227488226415,0.416,1.8691137441132075,1.1222606632641507,408.26M,2.31,"3,445.51M","9,024.63M",181.61M,8.59,7.905,-12.34M,-,789.45M,736.79M,93.329,605.11M,87.32,1.981,8.048,297.07M,Real Estate / Real Estate Development & Operations / 
Sin Heng Mach,0.270,0.295 - 0.270,0.27,apr_05_2020,31.02M,114.01M,-,0.94M,-0.04,-,SGD 0.28264,SGD 0.28392,-,-,-,0.276,-,-,-6.06M,10.205,29.35M,151.48M,21.17M,-5.576,-,-4.11M,-,-,-5.82M,-,-,-,-,-,-,Industrial Goods / Heavy Machinery & Vehicles / 
Indofood Agri,0.300,0.300 - 0.260,0.3,apr_05_2020,434.33M,1.40B,-,6.41M,-0.03,-,SGD 0.30124,SGD 0.30124,-,0.384185493,6.238965517,0.418,0.861724138,-,872.68M,41.76,"1,307.01M","37,612,530.00M","1,787,462.00M",-3.562,-1.889,"-1,937,582.00M",-,"1,209.71M","507,415.00M",3.717,-36.45M,-5.199,-1.519,-,173.91M,Food & Beverages / Fishing & Farming / 
ValueMax,0.250,0.250 - 0.245,0.245,apr_05_2020,136.08M,533.40M,-,2.23M,0.05,-,SGD 0.29861,SGD 0.29861,5.342857143,0.600791337,4.406122449,0.627,5.539795918,4.46122449,310.79M,32.025,446.87M,557.65M,8.92M,12.423,4.96,-0.80M,-,235.95M,31.27M,13.253,25.47M,11.047,-6.55,22.648,36.93M,Banking & Investment Services / Consumer Lending / 
IS MS INDIA US$,5.790,-,-,apr_05_2020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
XT MSMSIA US$,9.220,-,-,apr_05_2020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Creative,1.600,1.690 - 1.620,1.68,apr_05_2020,126.00M,70.40M,-,2.22M,-0.29,-,SGD 2.95095,SGD 2.95095,-,1.4640661153723329,-,0.817,-,-,-134.87M,-,-27.76M,137.70M,107.77M,-3.448,-0.932,-0.08M,-,80.91M,-6.48M,-7.339,-1.81M,-2.243,-15.434,-,-29.97M,Technology Equipment / Computer Hardware / 
Perennial Hldgs,0.315,0.325 - 0.305,0.32,apr_05_2020,532.85M,1.66B,-,3.04M,0,-,SGD 0.46781,SGD 0.46781,143.69163934426228,4.575923138941144,25.120475409836068,0.202,1.290983606557377,-,"2,878.81M",64.575,"3,411.66M","7,555.08M",119.81M,0.143,0.072,-9.60M,-,124.22M,55.07M,44.329,3.83M,4.393,-,-,71.51M,Real Estate / Real Estate Development & Operations / 
SingHoldings,0.300,0.320 - 0.310,0.32,apr_05_2020,128.32M,400.99M,-,8.31M,0.11,-,SGD 0.37631,SGD 0.37823,2.65125,0.35683593714880335,1.8121874999999998,0.434,-,3.05625,63.50M,11.233,191.82M,492.73M,54.20M,16.436,12.743,-,-,316.36M,83.17M,26.29,45.37M,20.957,54.659,300.362,87.74M,Real Estate / Real Estate Development & Operations / 
XIAOMI MBeCW200703,0.075,-,-,apr_05_2020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
GSS Energy,0.044,0.042 - 0.040,0.041,apr_05_2020,20.37M,496.86M,-,271.06M,0,-,SGD 0.09218,SGD 0.09218,10.7059512197,0.24070434288999992,4.498731707799999,0.418,-,-,-1.32M,-,19.05M,76.70M,8.22M,4.257,1.774,-4.40M,-,97.55M,4.35M,4.463,2.03M,1.397,-,-,8.26M,Industrial Goods / Industrial Machinery & Equipment / 
G K Goh,0.770,0.695 - 0.670,0.695,apr_05_2020,225.74M,324.81M,-,0.50M,0.02,-,SGD 0.78672,SGD 0.78672,31.48025899547445,2.37024978010187,11.43477697518248,0.545,3.1885755395036495,3.5442158273138684,158.60M,34.424,384.34M,693.65M,65.90M,1.873,1.253,-20.86M,-,116.93M,7.40M,6.332,7.94M,7.298,9.807,-1.123,21.06M,Industrial & Commercial Services / Business Support Services / 
STI 2400MBePW201231,0.157,-,-,apr_05_2020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
DLC SG7xLongMSG220225,0.130,-,-,apr_05_2020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Neo,0.280,0.300 - 0.300,0.3,apr_05_2020,44.21M,147.35M,-,1.95M,0.04,-,SGD 0.30857,SGD 0.35353,4.2532000000000005,0.19948444465160528,1.6716000000000004,1.02,1.5558666663448277,-,92.07M,122.9,108.42M,163.15M,18.47M,14.623,5.577,-3.91M,-,192.81M,8.71M,7.803,9.70M,5.276,-,-,29.64M,Cyclical Consumer Services / Restaurants & Bars / 
Leader Env,0.050,0.051 - 0.050,0.05,apr_05_2020,30.86M,617.21M,-,18.86M,-0.01,-,SGD 0.05761,SGD 0.05761,-,3.960015379,-,3.382,-,-,8.26M,1.012,39.12M,173.76M,9.71M,-34.927,-9.968,-0.01M,-,7.49M,-19.19M,-51.54,-3.86M,-51.556,-14.906,-,-2.41M,Industrial & Commercial Services / Environmental Services & Equipment / 
Sarine Tech,0.189,0.192 - 0.180,0.18,apr_05_2020,63.66M,350.60M,-,22.39M,-0.01,-,SGD 0.34782,SGD 0.34782,-,0.8876876378312988,14.91786096609375,0.744,6.28753475896875,3.3443903745,-32.03M,9.62,31.63M,77.14M,29.47M,-2.194,-1.793,-0.83M,-,73.23M,1.10M,2.145,-1.96M,-2.673,-10.021,-,7.84M,Industrial Goods / Industrial Machinery & Equipment / 
Nam Lee Metal,0.290,0.285 - 0.285,0.285,apr_05_2020,69.47M,243.74M,-,2.89M,0.04,-,SGD 0.34227,SGD 0.34227,7.177754386066667,0.5011314253877778,5.285122806966666,0.48,5.355333333333333,3.830035087566667,-34.64M,0.078,34.83M,167.50M,35.29M,6.872,5.772,-8.90M,-,143.66M,7.85M,5.465,9.81M,6.832,0.204,6.731,11.42M,Cyclical Consumer Products / Construction Supplies & Fixtures / 
SingReinsurance,0.270,0.255 - 0.250,0.255,apr_05_2020,154.33M,605.22M,-,3.23M,0.02,-,SGD 0.27564,SGD 0.27564,16.64576471,1.603183391,16.11105882,0.565,5.397882353,4.385647059,-103.65M,-,-,883.10M,-,3.659,1.154,-0.21M,-,107.94M,10.66M,9.876,9.82M,9.089,1.734,-11.46,10.99M,Insurance / Reinsurance / 
Sing Inv & Fin,1.000,1.060 - 1.010,1.01,apr_05_2020,159.20M,157.63M,-,0.68M,0.13,-,SGD 1.30312,SGD 1.30312,7.50283018910891,2.8079387677678658,7.099056603960396,0.427,-,4.28490566039604,-272.86M,2.683,-113.65M,"2,915.80M",-,5.44,0.699,-5.08M,-,85.92M,-,43.831,20.02M,39.668,6.335,9.602,23.26M,Banking & Investment Services / Banks / 
DLC SG5xShort SGX,0.057,-,-,apr_05_2020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
DLC SG7xLongHSC210723,0.165,-,-,apr_05_2020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Clearbridge,0.124,0.107 - 0.104,0.105,apr_05_2020,61.00M,580.98M,-,146.75M,-0.02,-,SGD 0.15021,SGD 0.15029,-,3.9510392741878495,-,1.208,-,-,9.80M,35.089,70.81M,96.79M,13.56M,-21.496,-14.47,-1.76M,-,21.53M,-9.49M,-44.081,-10.55M,-53.606,137.643,-,-3.49M,Healthcare Services / Healthcare Facilities & Services / 
JB Foods,0.390,0.385 - 0.380,0.38,apr_05_2020,115.22M,303.20M,-,1.17M,0.12,-,SGD 0.59214,SGD 0.59897,3.171315789,0.241211219,2.589394737,0.571,5.4015,-,223.96M,2.493,339.17M,367.46M,16.59M,19.847,8.489,-18.49M,-,502.94M,31.69M,8.991,37.29M,7.415,0.894,-,60.52M,Food & Beverages / Food Processing / 
TencentMBeCW200602,0.168,-,-,apr_05_2020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
DLC SG5xLong AAC,0.021,-,-,apr_05_2020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Isetan,2.810,3.000 - 3.000,3,apr_05_2020,123.75M,41.25M,-,0.13M,0,-,SGD 4.49514,SGD 4.49514,-,0.9703429559588163,-,0.964,1.5614233336508474,-,30.11M,54.338,153.86M,265.51M,59.52M,-19.037,-11.47,-8.52M,-,111.89M,-24.49M,-21.886,-27.19M,-24.3,-19.947,-,27.10M,Retailers / Department Stores / 
GKE,0.051,0.052 - 0.051,0.052,apr_05_2020,41.32M,788.53M,-,39.29M,0,-,SGD 0.06623,SGD 0.06623,30.35676923076923,0.3828394970414201,2.9374038461538463,0.544,-,-,78.10M,90.742,102.60M,170.01M,11.66M,-3.039,0.85,-2.32M,-,103.71M,0.18M,4.235,1.36M,1.525,13.34,-,19.31M,Transportation / Air Freight & Logistics / 
STI 3100MBeCW201030,0.032,-,-,apr_05_2020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Excelpoint,0.380,0.340 - 0.300,0.34,apr_05_2020,40.72M,119.76M,-,0.52M,0.04,-,SGD 0.39476,SGD 0.39476,22.13967213,0.045015856,5.926754098,0.372,-,5.873180328,133.97M,1.702,174.69M,331.20M,14.48M,2.069,0.447,-1.32M,-,"1,393.95M",1.94M,0.198,2.28M,0.164,2.709,-28.076,19.38M,Technology Equipment / Electronic Equipment & Parts / 
Hotel Grand,0.880,0.935 - 0.925,0.925,apr_05_2020,672.05M,726.54M,-,1.29M,0.04,-,SGD 1.20199,SGD 1.20199,23.983058822608694,3.851515571017013,13.073882350434781,0.498,-,3.329882353217391,-152.53M,2.007,519.51M,"1,581.53M",210.57M,1.934,1.648,-24.38M,-,154.56M,39.53M,25.577,26.39M,17.077,-3.268,-3.783,56.23M,"Cyclical Consumer Services / Hotels, Motels & Cruise Lines / "
DLC SG5xShort Singtel,0.169,-,-,apr_05_2020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
DLC SG5xLongPetChina A,0.051,-,-,apr_05_2020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Lum Chang,0.310,0.300 - 0.285,0.3,apr_05_2020,115.51M,380.49M,-,1.87M,0.06,-,SGD 0.34226,SGD 0.34226,4.636103448,0.390799049,3.592793103,0.438,6.413793103,5.404689655,78.09M,79.043,189.18M,679.67M,139.06M,9.409,4.772,-3.71M,-,337.94M,28.68M,9.446,26.36M,9.14,-3.045,-1.792,24.68M,Industrial & Commercial Services / Construction & Engineering / 
HSI24200MBeCW200528,0.144,-,-,apr_05_2020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Azeus,0.790,0.820 - 0.820,0.82,apr_05_2020,24.60M,30.00M,-,0.06M,0.08,-,SGD 0.9191,SGD 0.9191,8.312341463414635,0.7907989292088045,5.556012195121952,1.298,4.346926829268293,-,-7.96M,-,14.61M,143.59M,54.25M,13.665,10.3,-0.58M,-,28.87M,17.57M,12.998,2.85M,9.874,-2.755,-7.471,5.37M,Software & IT Services / IT Services & Consulting / 
Hiap Hoe,0.700,0.700 - 0.660,0.7,apr_05_2020,332.19M,470.56M,-,0.84M,0.02,-,SGD 0.76975,SGD 0.76975,15.34441176,2.661937716,6.250588235,0.428,2.206029412,1.696470588,429.96M,15.877,762.15M,"1,633.57M",323.06M,2.892,1.39,-2.82M,-,132.22M,18.32M,13.855,22.10M,16.758,-0.624,-41.452,37.36M,Real Estate / Real Estate Development & Operations / 
Boustead Proj,0.615,0.650 - 0.620,0.62,apr_05_2020,198.40M,310.65M,-,1.46M,0.08,-,SGD 0.89034,SGD 0.89034,8.256138461238095,0.630225798861678,6.181223076547618,0.677,2.2887461540714282,-,32.69M,28.38,236.37M,565.95M,108.34M,11.646,4.116,-0.65M,-,281.63M,40.58M,10.503,22.13M,7.858,2.841,-2.588,33.89M,Industrial & Commercial Services / Construction & Engineering / 
HPL,2.740,2.820 - 2.670,2.72,apr_05_2020,"1,418.45M",521.49M,-,0.44M,0.09,-,SGD 3.47661,SGD 3.47661,28.265723402158276,2.407371359461881,10.796765958705038,0.616,-,1.0522765958705038,754.13M,34.482,"2,172.58M","3,529.01M",195.48M,2.568,1.636,-108.50M,-,556.36M,90.16M,16.206,57.14M,9.83,-5.198,-15.946,169.24M,"Cyclical Consumer Services / Hotels, Motels & Cruise Lines / "
UOB MB ePW201231,0.280,-,-,apr_05_2020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Boustead,0.590,0.600 - 0.585,0.6,apr_05_2020,300.04M,491.20M,-,5.10M,0.06,-,SGD 0.71362,SGD 0.71126,11.51357265123967,0.5675792245253739,5.895965812099173,0.889,5.042735042793388,3.115401709785124,-103.84M,23.727,184.97M,884.33M,262.67M,9.967,4.494,-13.65M,-,537.40M,66.14M,9.412,25.84M,7.183,-1.065,-13.8,55.84M,Industrial & Commercial Services / Construction & Engineering / 
Micro-Mechanics,1.480,1.480 - 1.470,1.48,apr_05_2020,205.77M,139.03M,-,0.98M,0.09,-,SGD 1.75275,SGD 1.75275,16.918000000816328,3.4350000002502665,10.97499999537415,3.631,6.757000000408164,5.559999999564626,-17.56M,1.658,185.54M,69.88M,22.04M,21.824,17.662,-3.42M,-,59.91M,17.07M,26.786,12.16M,20.301,6.586,10.839,22.34M,Industrial Goods / Industrial Machinery & Equipment / 
