names,openprice,high_low,close,prevclosedate,marketcap,sharesoutstanding,p_float,avgvolume,normalizedeps,mthvwap,unadjvwap,adjvwap,peratio,price_sales,price_cf,pricebookvalue,dividend,divident_5_yr_avg,debt,long_term_debt_equity,enterprisevalue,assets,cash,roe,roa,capex,ebit,revenue,operating_income,operating_margin,netincome,net_profit_margin,revenue_per_share_5_yr_growth,eps_per_share_5_yr_growth,ebita,industry
United Engineers,2.680,2.680 - 2.680,2.680,jan_25_2020,"1,708.56M",637.52M,-,50.33M,0.09,-,SGD 2.6875,SGD 2.68345,13.256,4.523,11.42,0.831,1.119,1.785,781.38M,37.799,"2,546.89M","3,621.67M",251.25M,2.911,3.663,-12.50M,-,377.77M,55.00M,34.592,128.90M,33.931,-29.476,-13.573,105.84M,Real Estate / Real Estate Development & Operations / 
Sino Grandness,0.035,0.038 - 0.036,0.037,jan_25_2020,42.53M,1.15B,-,107.17M,0.04,-,SGD 0.04531,SGD 0.04531,6.4825675675675685,0.061742147552958385,1.157837837837838,0.062,-,-,79.14M,0.071,102.21M,"4,614.93M",621.79M,4.865,0.642,-172.65M,-,620.67M,386.90M,7.572,6.28M,1.001,0.249,-19.059,101.51M,Food & Beverages / Non-Alcoholic Beverages / 
BreadTalk,0.595,0.630 - 0.620,0.630,jan_25_2020,358.00M,563.27M,-,44.59M,0.03,-,SGD 0.62033,SGD 0.63026,38.59188888888889,0.4914783950617284,2.233611111111111,3.233,1.575,1.766,502.27M,96.035,394.17M,608.86M,189.77M,11.549,1.582,-47.95M,-,649.33M,32.94M,3.909,11.73M,2.013,2.628,2.277,181.85M,Cyclical Consumer Services / Restaurants & Bars / 
Ho Bee Land,2.360,2.370 - 2.360,2.360,jan_25_2020,"1,666.91M",665.23M,-,1.00M,0.41,-,SGD 2.34232,SGD 2.34232,10.748455696202532,7.849339244067012,11.374801687763712,0.483,3.376,3.006,"2,229.24M",62.930,"3,958.42M","5,970.84M",176.32M,8.422,2.469,-4.93M,-,210.57M,262.98M,116.896,146.06M,68.988,7.521,-14.135,167.42M,Real Estate / Real Estate Development & Operations / 
Jadason,0.034,0.035 - 0.034,0.034,jan_25_2020,26.14M,722.40M,-,98.33M,-0.00,-,SGD 0.03687,SGD 0.03687,-,0.5275134693877552,-,0.610,-,-,6.14M,0.006,18.00M,64.84M,10.71M,-2.668,-9.146,-1.88M,-,46.73M,-0.55M,-10.382,-6.14M,-13.130,-9.508,-,-0.37M,Technology Equipment / Semiconductors / 
TEE Intl,0.052,0.055 - 0.051,0.052,jan_25_2020,33.70M,648.15M,-,337.20M,-0.03,-,SGD 0.05266,SGD 0.05266,-,0.07882030178326474,-,0.786,-,-,86.35M,205.474,281.38M,653.19M,61.04M,-21.873,-7.736,-2.68M,-,395.95M,-13.86M,-8.804,-34.61M,-12.218,9.270,-,-19.40M,Industrial & Commercial Services / Construction & Engineering / 
Straits Trading,2.110,2.130 - 2.110,2.110,jan_25_2020,865.16M,407.68M,-,1.16M,0.18,-,SGD 2.05906,SGD 2.12262,12.418291079812207,2.1314027640018516,9.38900469483568,0.578,2.830,2.305,581.23M,42.071,"1,435.98M","2,576.33M",293.64M,4.871,3.220,-6.72M,-,398.32M,2.76M,4.302,68.81M,21.096,-7.815,-13.279,25.43M,Mineral Resources / Specialty Mining & Metals / 
ASTI,0.041,0.045 - 0.041,0.042,jan_25_2020,31.37M,654.73M,-,95.82M,-0.03,-,SGD 0.04394,SGD 0.04394,-,0.36940493827160503,-,0.413,54.348,-,-15.95M,2.669,13.42M,100.93M,23.26M,-28.680,-26.956,-9.16M,-,70.46M,-21.32M,-45.943,-36.22M,-48.337,-8.117,-,-33.18M,Technology Equipment / Semiconductor Equipment & Testing / 
Thakral,0.470,0.475 - 0.475,0.475,jan_25_2020,64.12M,130.86M,-,1.17M,0.07,-,SGD 0.47426,SGD 0.47426,6.6552,0.5561050415512464,2.6270526315789473,0.481,8.163,-,7.42M,14.696,78.42M,274.24M,30.05M,7.042,8.304,-1.06M,-,112.89M,24.42M,17.089,9.53M,19.935,-17.581,-,20.96M,Real Estate / Real Estate Development & Operations / 
MM2 Asia,0.255,0.280 - 0.270,0.270,jan_25_2020,325.59M,1.16B,-,22.92M,0.02,-,SGD 0.2381,SGD 0.23807,17.10230357142857,1.0010864158163266,4.7038392857142854,1.459,-,-,242.35M,86.930,530.01M,665.72M,18.57M,9.746,3.938,-5.34M,-,269.71M,57.68M,20.753,17.33M,9.981,58.430,33.375,92.07M,Cyclical Consumer Services / Entertainment Production / 
