symbol,exchange,name,type,week52change,week52high,week52low,marketcap,employees,day200movingavg,day50movingavg,float,avg10volume,avg30volume,ttmeps,ttmdividendrate,companyname,sharesoutstanding,maxchangepercent,year5changepercent,year2changepercent,year1changepercent,ytdchangepercent,month6changepercent,month3changepercent,month1changepercent,day30changepercent,day5changepercent,nextdividenddate,dividendyield,nextearningsdate,exdividenddate,peratio,beta,primaryexchange,calculationprice,open,opentime,opensource,close,closetime,closesource,high,hightime,highsource,low,lowtime,lowsource,latestprice,latestsource,latesttime,latestupdate,latestvolume,iexrealtimeprice,iexrealtimesize,iexlastupdated,delayedprice,delayedpricetime,oddlotdelayedprice,oddlotdelayedpricetime,extendedprice,extendedchange,extendedchangepercent,extendedpricetime,previousclose,previousvolume,change,changepercent,volume,iexmarketpercent,iexvolume,avgtotalvolume,iexbidprice,iexbidsize,iexaskprice,iexasksize,iexopen,iexopentime,iexclose,iexclosetime,ytdchange,lasttradetime,isusmarketopen
BUSE,NAS,First Busey Corporation,cs,-0.351072,28,11,922100340,1531,23.86,17.3,47456996,221788.2,207743.5,1.6781,0.86,First Busey Corp.,54401200,-0.642,-0.0828,-0.4316,-0.351072,-0.382514,-0.375,-0.345054,-0.117187,0.034167,-0.028653,,0.05073746312684366,2020-07-28,2020-04-23,10.1,1.2101939915952278,NASDAQ,close,16.8,1588944601123,official,16.95,1588968000855,official,17.175,1588968992315,15 minute delayed price,16.545,1588945449443,15 minute delayed price,16.95,Close,"May 8, 2020",1588968000855,289406,,,,16.95,1588968992315,16.96,1588967997701,16.95,0,0,1588968992315,16.3,204898,0.65,0.03988,289406,,,207744,,,,,,,16.96,1588967982945,-0.34572,1588967999488,false
BWB,NAS,Bridgewater Bancshares Inc.,cs,-0.120362,13.9,7.99,280007928,160,11.84,9.77,21760102,99068.6,83901,1.0962,,"Bridgewater Bancshares, Inc.",28807400,-0.2298,-0.2298,-0.2648,-0.120362,-0.284768,-0.237647,-0.295141,-0.010183,0.072848,-0.010183,,,2020-07-23,,8.87,0.902850122592949,NASDAQ,close,9.58,1588944601031,official,9.72,1588968000547,official,9.83,1588968014719,15 minute delayed price,9.408,1588945325825,15 minute delayed price,9.72,Close,"May 8, 2020",1588968000547,62103,,,,9.72,1588968014719,9.74,1588967984348,9.72,0,0,1588968014719,9.3,99780,0.42,0.04516,62103,,,83901,,,,,,,9.725,1588966829388,-0.24533999999999997,1588968014719,false
BWEN,NAS,Broadwind Energy Inc.,cs,-0.034091,2.59,1.12,28288000,521,1.66,1.51,13933071,1285481.3,443284.57,-0.1565,,"Broadwind Energy, Inc.",16640000,1.0401,-0.5405,-0.3281,-0.034091,0.021021,0.111111,0.0625,0.042945,0.315484,0.118421,,,2020-08-04,,-10.86,0.673937891825263,NASDAQ,close,1.7,1588944600566,official,1.7,1588968000374,official,1.72,1588980593350,15 minute delayed price,1.58,1588948224893,15 minute delayed price,1.7,Close,"May 8, 2020",1588968000374,440557,,,,1.7,1588968000374,1.68,1588967992027,1.7,0,0,1588980593350,1.62,51281,0.08,0.04938,440557,,,443285,,,,,,,1.63,1588951586353,0.07348,1588968000374,false
BWFG,NAS,Bankwell Financial Group Inc.,cs,-0.495139,30,12.07,114444340,157,25.25,17.08,6514732,21138.4,20693.5,1.8486,0.53,"Bankwell Financial Group, Inc.",7871000,-0.0619,-0.2141,-0.5443,-0.495139,-0.498966,-0.493909,-0.495839,-0.09125,-0.081491,0.01324,2020-05-15,0.036451169188445674,2020-07-23,2020-02-13,7.87,1.044522383504737,NASDAQ,close,14.76,1588944600975,official,14.54,1588968000228,official,14.89,1588968016562,15 minute delayed price,13.79,1588944699936,15 minute delayed price,14.54,Close,"May 8, 2020",1588968000228,31509,,,,14.54,1588968016562,14.68,1588967997590,14.54,0,0,1588968016562,14.75,13752,-0.21,-0.01424,31509,,,20694,,,,,,,14.39,1588962652805,-0.51134,1588968016562,false
BWMX,NAS,Betterware de Mexico SAPI de CV,cs,0.07489,10.04,5.67,394530432,,8.61,8.61,,484.3,844.07,,,Betterware de México SAPI de CV,34451000,0.0749,0.0749,0.0749,0.074868,0.074868,0.074868,0.074868,0.244872,0.219975,0.062002,,,,,,-0.46382030083589615,NASDAQ,close,8.99,1588964160164,official,9.76,1588968000795,official,9.76,1588968000795,Close,8.94,1588964537952,IEX Last Trade,9.76,Close,"May 8, 2020",1588968000795,217,,,,8.99,1588968000795,8.94,1588964537952,9.5,-0.26,-0.02664,1587560321659,7.66,443,2.1,0.27415,217,,,844,,,,,7.98,1585585218527,8.94,1588964537952,0.49415,1588968000795,false
BXRX,NAS,Baudax Bio Inc,cs,-0.5671430000000001,10.14,2.16,53237100,25,5.66,3.61,17350164,1059794.6,875754.43,,,"Baudax Bio, Inc.",17570000,-0.5671,-0.5671,-0.5671,-0.567143,-0.535988,-0.567143,-0.637993,0.259875,0.143396,-0.053125,,,,,,0.22993347462869362,NASDAQ,close,2.92,1588944600846,official,3.03,1588968000451,official,3.11,1588981883383,15 minute delayed price,2.9,1588944625796,15 minute delayed price,3.03,Close,"May 8, 2020",1588968000451,600001,,,,3.03,1588968000451,3.01,1588967995457,3.1,0.07,0.0231,1588981883383,2.98,564232,0.05,0.01678,600001,,,875754,,,,,,,3.025,1588967934918,-0.5472199999999999,1588968000451,false
BYFC,NAS,Broadway Financial Corporation,cs,0.037879,2.03,1.04,38413973,64,1.56,1.37,12311964,9202.8,10820.63,-0.0074,,Broadway Financial Corp. (California),19283000,-0.8868,0.0148,-0.3598,0.037879,-0.11039,-0.141066,-0.086667,0.070313,-0.007246,-0.055172,,,,,-185.14,0.6616257658349827,NASDAQ,close,1.4,1588944600251,official,1.37,1588968000604,official,1.48,1588968000604,15 minute delayed price,1.35,1588963879913,15 minute delayed price,1.37,Close,"May 8, 2020",1588968000604,19566,,,,1.37,1588968000604,1.48,1588967331425,1.42,0.05,0.0365,1588196052032,1.41,1693,-0.04,-0.02837,19566,,,10821,,,,,,,1.33,1588702862672,-0.07037,1588968000604,false
BYND,NAS,Beyond Meat Inc.,cs,0.955617,239.71,48.18,8257459990,472,109.93,82.19,30885411,14526762.9,8377844.27,-0.1517,,"Beyond Meat, Inc.",61849000,1.0306,1.0306,1.0306,0.955617,0.765071,0.738638,0.115092,0.846611,1.019208,0.403005,,,2020-08-03,,-880.09,0.8982940135882328,NASDAQ,close,123,1588944600759,official,133.51,1588968000395,official,136,1588982398321,15 minute delayed price,119.101,1588945004666,15 minute delayed price,133.51,Close,"May 8, 2020",1588968000395,22481832,,,,133.51,1588968874243,133.57,1588967984958,133.5,-0.01,-0.00007,1588982398321,122.66,22970954,10.85,0.08846,22481832,,,8377844,,,,,,,133.495,1588967977882,0.8398599999999999,1588968000766,false
BYSI,NAS,BeyondSpring Inc.,cs,0.08373,24.8,9.38,443991288,52,15.39,13.18,11575902,44942.5,33180.43,-1.6186,,"BeyondSpring, Inc.",27888900,-0.0524,-0.0524,-0.447,0.08373,0.027097,0.286985,-0.055193,0.196093,0.272582,-0.023313,,,2020-05-25,,-9.84,0.9653972895287524,NASDAQ,close,15.77,1588944601365,official,15.92,1588968000431,official,16.06,1588969976739,15 minute delayed price,15.38,1588960198817,15 minute delayed price,15.92,Close,"May 8, 2020",1588968000431,31202,,,,15.41,1588969976739,15.97,1588967982834,15.41,-0.51,-0.03204,1588969976739,15.5,25978,0.42,0.0271,31202,,,33180,,,,,,,15.49,1588960198810,0.0516,1588968000431,false
CAAS,NAS,China Automotive Systems Inc.,cs,-0.343629,4.16,1.43,53385100,4711,2.3,1.78,11659902,10812.7,14815.83,0.1613,,"China Automotive Systems, Inc.",31403000,-0.6222,-0.7645,-0.6,-0.343629,-0.463722,-0.15,-0.348659,-0.076639,-0.011628,-0.044944,,,2020-05-14,,10.54,0.2873590535469054,NASDAQ,close,1.71,1588944601160,official,1.7,1588968000828,official,1.72,1588968000828,Close,1.68,1588948738757,15 minute delayed price,1.7,Close,"May 8, 2020",1588968000828,13388,,,,1.72,1588968000828,1.72,1588968000828,1.98,0.28,0.16471,1588767233448,1.68,6565,0.02,0.0119,13388,,,14816,,,,,,,1.75,1588694563327,-0.4501,1588968000828,false
