symbol,exchange,name,type,week52change,week52high,week52low,marketcap,employees,day200movingavg,day50movingavg,float,avg10volume,avg30volume,ttmeps,ttmdividendrate,companyname,sharesoutstanding,maxchangepercent,year5changepercent,year2changepercent,year1changepercent,ytdchangepercent,month6changepercent,month3changepercent,month1changepercent,day30changepercent,day5changepercent,nextdividenddate,dividendyield,nextearningsdate,exdividenddate,peratio,beta,primaryexchange,calculationprice,open,opentime,opensource,close,closetime,closesource,high,hightime,highsource,low,lowtime,lowsource,latestprice,latestsource,latesttime,latestupdate,latestvolume,iexrealtimeprice,iexrealtimesize,iexlastupdated,delayedprice,delayedpricetime,oddlotdelayedprice,oddlotdelayedpricetime,extendedprice,extendedchange,extendedchangepercent,extendedpricetime,previousclose,previousvolume,change,changepercent,volume,iexmarketpercent,iexvolume,avgtotalvolume,iexbidprice,iexbidsize,iexaskprice,iexasksize,iexopen,iexopentime,iexclose,iexclosetime,ytdchange,lasttradetime,isusmarketopen
CYCN,NAS,Cyclerion TherapeuticsInc.,cs,-0.743068,17.46,1.69,115737933,94,5.48,3.31,23168292,187407,192690.07,-3.8484,,"Cyclerion Therapeutics, Inc.",27754900,-0.6664,-0.6664,-0.6664,-0.743068,0.622568,1.024272,0.0399,0.516364,0.385382,0.05303,,,,,-1.08,1.1686276087395975,NASDAQ,close,,,official,,,official,,1588974044116,15 minute delayed price,,1588944819522,15 minute delayed price,4.17,Close,"May 8, 2020",1588968000290,,,,,,,,,,,,,3.94,117879,0.23,0.05838,,,,192690,,,,,,,4.195,1588967944399,0.56378,1588968000290,false
CYRN,NAS,CYREN Ltd.,cs,-0.508718,2.04,0.31,57428268,248,1.3204,0.8764,25006294,27032.3,41824.27,-0.3261,,CYREN Ltd.,59946000,-0.012167,-0.245669,-0.41227,-0.251563,-0.508718,-0.669,-0.6863,1.0,0.205031,0.019149,,,2020-05-13,,-2.94,0.32549613637791003,NASDAQ,close,,,official,,,official,,1588968000534,15 minute delayed price,,1588944602386,15 minute delayed price,0.958,Close,"May 8, 2020",1588968000534,,,,,,,,,,,,,0.9699,41774,-0.0119,-0.01227,,,,41824,,,,,0.65,1584475005946,0.9645,1588691850065,-0.24587,1588968000534,false
CYRX,NAS,CryoPort Inc.,cs,0.36357700000000004,25.02,12.4,781275800,125,17.38,17.13,37182814,477204.4,424006.93,-0.5618,,"CryoPort, Inc.",37670000,0.102605,0.096195,0.492086,0.254688,0.363577,1.2422,1.8103,-0.7812,0.368977,0.135194,,,2020-08-06,,-36.92,0.8196456958005361,NASDAQ,close,,,official,,,official,,1588971951481,15 minute delayed price,,1588944807559,15 minute delayed price,20.74,Close,"May 8, 2020",1588968000247,,,,,,,,,,,,,20.64,595638,0.1,0.00484,,,,424007,,,,,,,20.76,1588967988501,0.24824000000000002,1588968003616,false
CYTK,NAS,Cytokinetics Incorporated,cs,0.749168,17.05,7.73,937073840,156,12.26,13.29,54268705,851609.3,818528.6,-2.2444,,"Cytokinetics, Inc.",59459000,0.038563,0.08059,0.933129,0.493365,0.748613,0.822,1.7649,-0.8369,0.340851,0.134269,,,2020-07-29,,-7.02,0.9250495636205676,NASDAQ,close,,,official,,,official,,1588970874769,15 minute delayed price,,1588959766208,15 minute delayed price,15.76,Close,"May 8, 2020",1588968000341,,,,,,,,,,,,,15.73,844032,0.03,0.00191,,,,818529,,,,,,,15.755,1588967995480,0.48311000000000004,1588967999496,false
DCAR,NAS,DropCar Inc.,cs,-0.655843,1.93,0.36,2787636,6,0.6967,0.5238,3727765,2702107,1388091.77,-2.8787,,"DropCar, Inc.",4550500,0.155849,-0.188609,-0.007775,-0.345233,-0.655843,-0.9444,-0.9898,-1.0,0.303404,0.494146,,,,,-0.21,0.8898435550449565,NASDAQ,close,,,official,,,official,,1588977530025,15 minute delayed price,,1588947805616,15 minute delayed price,0.6126,Close,"May 8, 2020",1588968000835,,,,,,,,,,,,,0.6196,1316771,-0.007,-0.0113,,,,1388092,,,,,,,0.7136,1588794597087,-0.3001,1588967999694,false
CZNC,NAS,Citizens & Northern Corporation,cs,-0.354974,29.25,15.69,254772672,336,24.12,18.97,13231263,28582.1,26673.07,1.3554,1.08,Citizens & Northern Corp.,13786400,0.007084,-0.3125,-0.294118,-0.344681,-0.354974,-0.2521,-0.0571,-0.0865,0.001083,-0.064304,,0.05844155844155845,2020-07-16,2020-04-24,13.63,1.4773797639363042,NASDAQ,close,,,official,,,official,,1588968017685,15 minute delayed price,,1588949123001,15 minute delayed price,18.48,Close,"May 8, 2020",1588968000514,,,,,,,,,,,,,17.25,18673,1.23,0.0713,,,,26673,,,,,,,18.55,1588967100198,-0.28049999999999997,1588968017685,false
CZR,NAS,Caesars Entertainment Corporation,cs,0.067107,14.74,3.22,6634673900,64000,11.56,8.28,676786669,15328253.8,16109566.7,-1.7714,,Caesars Entertainment Corp.,683987000,0.022129,-0.313031,-0.244548,-0.286765,0.067107,-0.195,0.0419,0.4038,0.416058,0.223203,,,2020-05-11,,-5.48,1.0831010782878545,NASDAQ,close,,,official,,,official,,1588982397263,15 minute delayed price,,1588944964151,15 minute delayed price,9.7,Close,"May 8, 2020",1588968000692,,,,,,,,,,,,,9.48,15382088,0.22,0.02321,,,,16109567,,,,,,,9.69,1588967975008,-0.26459,1588967999604,false
CZWI,NAS,Citizens Community Bancorp Inc.,cs,-0.290435,12.75,5.26,90992160,288,10.5,7.48,10507164,26327,17888.37,0.9952,0.2,"Citizens Community Bancorp, Inc. (Wisconsin)",11151000,0.036204,-0.314286,-0.286713,-0.332242,-0.290219,-0.4146,-0.1033,0.2612,0.205318,0.301435,,0.024509803921568627,2020-07-24,2020-02-04,8.2,0.6149798897200247,NASDAQ,close,,,official,,,official,,1588968000181,15 minute delayed price,,1588957216920,15 minute delayed price,8.16,Close,"May 8, 2020",1588968000181,,,,,,,,,,,,,7.92,18602,0.24,0.0303,,,,17888,,,,,,,7.96,1588965073785,-0.3019,1588968000181,false
DAIO,NAS,Data I/O Corporation,cs,-0.291028,4.94,2.34,26636040,96,3.75,2.97,6920010,23064.7,15714.97,-0.2151,,Data I/O Corp.,8221000,0.040193,-0.193267,-0.19125,-0.269735,-0.292123,-0.5569,0.0062,1.6917,0.08194,-0.004615,,,2020-07-23,,-15.06,0.24291311956887235,NASDAQ,close,,,official,,,official,,1588944603560,15 minute delayed price,,1588967598940,15 minute delayed price,3.24,Close,"May 8, 2020",1588968000256,,,,,,,,,,,,,3.26,7163,-0.02,-0.00613,,,,15715,,,,,,,3.245,1588860150656,-0.24193,1588968000256,false
ACM,NYS,AECOM,cs,0.06733600000000001,52.4,21.76,5785508040,86000,39.32,33.35,158362514,1803318.7,2158281.17,-2.7597,,AECOM,160086000,0.050581,-0.233997,-0.159535,-0.159144,0.067336,0.0466,0.1606,0.7128,0.257043,0.092503,,,2020-08-11,,-13.1,1.184285419427424,New York Stock Exchange,close,,,official,,,official,,1588977000006,15 minute delayed price,,1588961319783,15 minute delayed price,36.14,Close,"May 8, 2020",1588968001821,,,,,,,,,,,,,35.15,1385488,0.99,0.02817,,,,2158281,,,,,,,36.165,1588967996702,-0.13723,1588968025957,false
EBF,NYS,Ennis Inc.,cs,-0.107179,22.21,13.98,460918936,2505,19.89,17.78,25037451,148543.3,147294.5,1.4718,0.9,"Ennis, Inc.",26099600,-0.016156,-0.172834,-0.120956,-0.185424,-0.107179,-0.0134,0.1213,0.5159,0.04497,-0.078288,,0.05096262740656852,2020-06-29,2020-04-09,12,0.7791883787689248,New York Stock Exchange,close,,,official,,,official,,1588982347989,15 minute delayed price,,1588960195769,15 minute delayed price,17.66,Close,"May 8, 2020",1588968001878,,,,,,,,,,,,,17.47,132551,0.19,0.01088,,,,147295,,,,,,,17.585,1588967944273,-0.17342,1588968017797,false
AGBAR,NAS,AGBA Acquisition Ltd Rights For Shares,rt,,0,0,1075500,,,,,,,,,AGBA Acquisition Ltd.,5975000,0,0,0,0,0,0,0,0,0,0,,NaN,,,,,NASDAQ,close,,,official,,,official,,1588708800176,Previous close,,1588708800176,Previous close,0.18,Previous close,"May 5, 2020",1588708800176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1588708800176,false
ENG,NAS,ENGlobal Corporation,cs,0.299363,1.48,0.4604,27962280,251,0.98,0.83,13988487,134908.2,66903.37,0.0222,,ENGlobal Corp.,27414000,-0.4545,-0.3665,0.2593,0.299363,0.033435,-0.128205,0.051655,0.307692,0.274841,0.02,,,,,45.95,0.7267127341731418,NASDAQ,close,,,official,,,official,,1588976203970,15 minute delayed price,,1588947567707,15 minute delayed price,1.02,Close,"May 8, 2020",1588968000394,,,,,,,,,,,,,1,425799,0.02,0.02,,,,66903,,,,,,,1.02,1588169242685,0.029900000000000003,1588967699430,false
DAKT,NAS,Daktronics Inc.,cs,-0.413747,7.95,4.09,196080600,2722,6.06,4.63,37090516,161367.8,238835.47,-0.2043,0.22,"Daktronics, Inc.",45076000,-0.004577,-0.272575,-0.361233,-0.283361,-0.413747,-0.5307,-0.5706,-0.4473,-0.004577,-0.089958,,0.05057471264367817,2020-05-27,2020-03-06,-21.29,0.7746496848608253,NASDAQ,close,,,official,,,official,,1588970341248,15 minute delayed price,,1588960222590,15 minute delayed price,4.35,Close,"May 8, 2020",1588968000331,,,,,,,,,,,,,4.18,136181,0.17,0.04067,,,,238835,,,,,,,4.345,1588967995161,-0.25083,1588968000331,false
DARE,NAS,Dare Bioscience Inc.,cs,0.16710899999999998,2.22,0.6902,27484930,19,0.93,0.97,21806618,883848.9,392943.7,-0.9732,,"Daré Bioscience, Inc.",24986300,0.0,-0.140625,0.225081,0.341463,0.167109,-0.0678,-0.9818,-0.9839,0.195652,0.222222,,,2020-05-19,,-1.13,0.6098821028694337,NASDAQ,close,,,official,,,official,,1588982381302,15 minute delayed price,,1588967567612,15 minute delayed price,1.1,Close,"May 8, 2020",1588968000277,,,,,,,,,,,,,1.09,124474,0.01,0.00917,,,,392944,,,,,,,1.105,1588966974634,0.36397,1588968000277,false
DBCP,NAS,Delmar Bancorp,cs,-0.073871,8.25,5,120560160,218,7.29,6.17,9782112,42462,15582.83,0.5426,0.1,Delmar Bancorp,17808000,0.177391,-0.164198,-0.091275,-0.164198,-0.073871,-0.0662,0.5044,0.3019,0.167241,0.194004,,0.014771048744460858,,2020-03-27,12.48,0.2859191626055013,NASDAQ,close,,,official,,,official,,1588968000407,15 minute delayed price,,1588967681546,15 minute delayed price,6.77,Close,"May 8, 2020",1588968000407,,,,,,,,,,,,,6.55,18944,0.22,0.03359,,,,15583,,,,,6.61,1588865563869,6.61,1588865585322,-0.12541,1588968000407,false
DBX,NAS,Dropbox Inc. Class A,cs,-0.058115,26.2,14.55,9373304480,2801,18.99,18.83,252819897,5851352.2,4921960.13,-0.0146,,"Dropbox, Inc.",277096000,0.100604,0.180788,0.160127,0.209508,-0.058115,-0.256,-0.2317,-0.2317,0.232676,0.211517,,,2020-08-06,,-538.92,0.8492651461272896,NASDAQ,close,,,official,,,official,,1588982290817,15 minute delayed price,,1588950465998,15 minute delayed price,21.88,Close,"May 8, 2020",1588968000414,,,,,,,,,,,,,21.89,15490223,-0.01,-0.00046,,,,4921960,,,,,,,21.89,1588967995869,0.21104,1588968000774,false
CYBE,NAS,CyberOptics Corporation,cs,0.7427750000000001,30.75,11.55,216024750,173,18.05,19.64,6932324,115172.4,74534.57,0.1572,,CyberOptics Corp.,7165000,0.124161,0.332891,0.652961,0.55814,0.742775,0.8669,1.8797,6.5564,1.012684,0.584341,,,2020-07-23,,191.79,0.8035453983859483,NASDAQ,close,,,official,,,official,,1588981976054,15 minute delayed price,,1588946408395,15 minute delayed price,30.15,Close,"May 8, 2020",1588968000842,,,,,,,,,,,,,27.6,89584,2.55,0.09239,,,,74535,,,,,,,30.24,1588967970018,0.74169,1588968000842,false
CYBR,NAS,CyberArk Software Ltd.,cs,-0.138683,148.74,69.51,4157803440,1380,111.2,90.63,37746572,472687,572269.8,1.676,,CyberArk Software Ltd.,38124000,0.116046,-0.215283,-0.041399,-0.081677,-0.138683,0.9113,0.7399,2.6438,0.224293,0.224155,,,2020-05-13,,65.07,1.0774573756876913,NASDAQ,close,,,official,,,official,,1588982399590,15 minute delayed price,,1588945137252,15 minute delayed price,109.06,Close,"May 8, 2020",1588968000544,,,,,,,,,,,,,105.93,482789,3.13,0.02955,,,,572270,,,,,,,109.03,1588967979807,-0.047650000000000005,1588968000544,false
CYCC,NAS,Cyclacel Pharmaceuticals Inc.,cs,-0.71108,20.4,3.85,3543196,12,9.74,7.16,831447,742671.9,993132.03,-9.9118,,"Cyclacel Pharmaceuticals, Inc.",859999,-0.014354,-0.705546,-0.446385,-0.692151,-0.71108,-0.8579,-0.9796,-0.9997,-0.465213,-0.471795,,,2020-05-12,,-0.42,0.868653671845581,NASDAQ,close,,,official,,,official,,1588982384604,15 minute delayed price,,1588945606018,15 minute delayed price,4.12,Close,"May 8, 2020",1588968000181,,,,,,,,,,,,,4.09,349688,0.03,0.00733,,,,993132,,,,,,,4.105,1588966983155,-0.6851700000000001,1588968000180,false
CTIC,NAS,CTI BioPharma Corp.,cs,0.12790200000000002,1.93,0.62,104968330,25,0.97,0.93,66353515,505933.5,246219.73,-0.6989,,CTI BioPharma Corp.,73682000,0.019802,-0.242647,0.371687,-0.331169,0.127902,-0.7431,-0.9408,-1.0,0.095745,0.089371,,,2020-07-30,,-1.47,0.6427520595189768,NASDAQ,close,,,official,,,official,,1588978634017,15 minute delayed price,,1588945435659,15 minute delayed price,1.03,Close,"May 8, 2020",1588968000559,,,,,,,,,,,,,1.03,102547,0,0,,,,246220,,,,,,,1.03,1588955943119,-0.3642,1588968000559,false
CTMX,NAS,CytomX Therapeutics Inc.,cs,0.418327,14.5,3.6,653937824,158,7.8,7.98,44252671,631193.3,554220.33,-2.2535,,"CytomX Therapeutics, Inc.",45922600,0.236111,0.942701,1.547406,0.656777,0.418327,-0.4232,0.1039,0.1039,1.24252,0.66161,,,2020-08-05,,-8.51,1.5038161245720243,NASDAQ,close,,,official,,,official,,1588982257578,15 minute delayed price,,1588944829296,15 minute delayed price,14.24,Close,"May 8, 2020",1588968000674,,,,,,,,,,,,,12.25,990282,1.99,0.16245,,,,554220,,,,,,,14.15,1588967908537,0.84165,1588968000674,false
CTRC,NAS,Centric Brands Inc.,cs,-0.70317,4.47,0.489,60828710,,2.14,1.21,32284218,741509.1,307825.2,-7.0586,,"Centric Brands, Inc.",59057000,0.253346,-0.504808,-0.479798,-0.542222,-0.70317,-0.1043,-0.7992,-0.9878,-0.231343,0.174458,,,2020-05-18,,-0.15,1.3513631918059148,NASDAQ,close,,,official,,,official,,1588982383451,15 minute delayed price,,1588945106158,15 minute delayed price,1.03,Close,"May 8, 2020",1588968000255,,,,,,,,,,,,,0.91,1714331,0.12,0.13187,,,,307825,,,,,,,1.02,1588967972503,-0.39993000000000006,1588968000255,false
CWBR,NAS,CohBar Inc,cs,0.23863600000000001,4.25,0.87,141089709,13,1.72,1.79,29098350,269727.5,135604.53,-0.3046,,"CohBar, Inc.",43146700,-0.023881,0.668623,0.721053,1.096154,0.238636,-0.4801,2.0849,1.3357,1.22449,1.669388,,,,,-10.74,0.5700311723856019,NASDAQ,close,,,official,,,official,,1588973193326,15 minute delayed price,,1588945601574,15 minute delayed price,3.27,Close,"May 8, 2020",1588968000642,,,,,,,,,,,,,3.24,229066,0.03,0.00926,,,,135605,,,,,,,3.205,1588963502959,1.01536,1588968000642,false
CVCO,NAS,Cavco Industries Inc.,cs,0.324715,236.1,99.58,1475427380,4650,185.47,148.01,8570844,63960.5,66867.07,9.11,,"Cavco Industries, Inc.",9142000,0.072501,-0.3082,-0.169121,-0.179095,0.324715,-0.0775,1.4013,20.5187,0.087021,0.145016,,,2020-05-21,,17.72,1.3922479211263357,NASDAQ,close,,,official,,,official,,1588968980363,15 minute delayed price,,1588950361933,15 minute delayed price,161.39,Close,"May 8, 2020",1588968000463,,,,,,,,,,,,,153.73,46050,7.66,0.04983,,,,66867,,,,,,,161.15,1588967889281,-0.12747000000000003,1588968000463,false
CTRE,NAS,CareTrust REIT Inc,cs,-0.27603300000000003,25.54,7.16,1672616880,52,20.8,16.15,93915815,562401.6,696635.3,0.5211,0.925,"CareTrust REIT, Inc.",95469000,0.109914,-0.235268,-0.142018,-0.132244,-0.276033,0.2434,0.4095,0.0017,0.123077,-0.067589,,0.05279680365296804,2020-08-11,2019-12-30,33.62,1.339382529933639,NASDAQ,close,,,official,,,official,,1588972254228,15 minute delayed price,,1588945100774,15 minute delayed price,17.52,Close,"May 8, 2020",1588968000268,,,,,,,,,,,,,15.89,383864,1.63,0.10258,,,,696635,,,,,,,17.49,1588967996764,-0.048219999999999985,1588968000268,false
CTRM,NAS,Castor Maritime Inc.,cs,-0.870301,9.6,0.482,4705041,1,2.0382,0.6779,4271073,1378538.7,1510735.0,,,"Castor Maritime, Inc.",6818900,-0.004042,-0.465116,-0.720648,-0.637548,-0.870301,-0.8634,-0.8634,-0.8634,-0.112312,0.131148,,,,,,0.5986840310759504,NASDAQ,close,,,official,,,official,,1588981981815,15 minute delayed price,,1588947617702,15 minute delayed price,0.69,Close,"May 8, 2020",1588968000410,,,,,,,,,,,,,0.6623,610926,0.0277,0.04182,,,,1510735,,,,,,,0.69,1588962627140,-0.58718,1588968000410,false
CTRN,NAS,Citi Trends Inc.,cs,-0.356085,24.78,6.7,141781717,,17.5,11.55,11123655,105165.3,101643.57,1.43,0.32,"Citi Trends, Inc.",11650100,0.103354,-0.497523,-0.340379,-0.462693,-0.356085,-0.5824,-0.479,-0.2248,0.308602,0.167946,,0.026294165981922763,2020-05-20,2020-03-02,8.51,1.5993207208099007,NASDAQ,close,,,official,,,official,,1588968014823,15 minute delayed price,,1588945146188,15 minute delayed price,12.17,Close,"May 8, 2020",1588968000259,,,,,,,,,,,,,10.82,167263,1.35,0.12477,,,,101644,,,,,,,12.19,1588967966410,-0.35063,1588968014823,false
CTSH,NAS,Cognizant Technology Solutions Corporation Class A,cs,-0.032826,71.48,40.01,31360090920,292500,60.1,52.32,546673977,4151485.8,4419253.2,3.1974,0.82,Cognizant Technology Solutions Corp.,548637000,0.013655,-0.176131,-0.087484,-0.076873,-0.032826,-0.2659,-0.0571,19.7855,0.225032,0.053058,2020-05-19,0.014345696291112667,2020-07-30,2020-02-14,17.88,1.1765363756496674,NASDAQ,close,,,official,,,official,,1588974205266,15 minute delayed price,,1588944995033,15 minute delayed price,57.16,Close,"May 8, 2020",1588968000214,,,,,,,,,,,,,58.76,3869227,-1.6,-0.02723,,,,4419253,,,,,,,57.21,1588967996213,-0.10963,1588967999901,false
CTSO,NAS,CytoSorbents Corporation,cs,0.593656,10.75,3.49,382237050,153,5.36,6.97,31200978,869341.5,1100888.87,-0.5454,,CytoSorbents Corp.,36231000,0.124733,1.118474,1.386878,1.6375,0.593656,0.3188,0.4632,-0.8616,0.743802,0.60091,,,2020-08-11,,-19.34,0.6104318651107472,NASDAQ,close,,,official,,,official,,1588978394607,15 minute delayed price,,1588944601403,15 minute delayed price,10.55,Close,"May 8, 2020",1588968000615,,,,,,,,,,,,,10.36,647789,0.19,0.01834,,,,1100889,,,,,,,10.56,1588967997299,1.73044,1588967997715,false
CTXR,NAS,Citius Pharmaceuticals Inc,cs,-0.116822,1.5,0.4,35983805,9,0.8048,0.6863,23382162,1919838.4,1318368.93,-0.7048,,"Citius Pharmaceuticals, Inc.",38078100,0.038462,-0.116822,0.817657,-0.046418,-0.116822,-0.627,-0.9642,-0.9373,0.586635,0.399171,,,,,-1.34,0.24303637740967984,NASDAQ,close,,,official,,,official,,1588977990017,15 minute delayed price,,1588945706913,15 minute delayed price,0.945,Close,"May 8, 2020",1588968000418,,,,,,,,,,,,,0.922,561343,0.023,0.02495,,,,1318369,,,,,,,0.9315,1588960639436,-0.01595,1588968000418,false
CTXS,NAS,Citrix Systems Inc.,cs,0.5585840000000001,152.49,90.28,18638631980,8400,113.13,134.07,122145629,1919419.6,2460926.47,5.8327,1.4,"Citrix Systems, Inc.",123451000,0.031848,0.23937,0.356392,0.352019,0.558584,0.4166,1.8796,13.2568,0.078121,0.08307,2020-06-04,0.009272751357795735,2020-07-22,2020-03-05,25.89,0.5546550942461064,NASDAQ,close,,,official,,,official,,1588979125413,15 minute delayed price,,1588956160778,15 minute delayed price,150.98,Close,"May 8, 2020",1588968000183,,,,,,,,,,,,,150.68,1771950,0.3,0.00199,,,,2460926,,,,,,,150.97,1588967980045,0.35498999999999997,1588968000745,false
CUE,NAS,Cue Biopharma Inc.,cs,2.451372,28.1,6.54,786815072,47,13.13,18.35,24146183,321621.1,327043.77,-1.6752,,"Cue Biopharma, Inc.",27674200,0.137223,0.459916,2.089286,0.697118,2.451372,1.2763,1.3801,1.3801,1.092215,0.540345,,,2020-05-18,,-17.15,1.204762412197449,NASDAQ,close,,,official,,,official,,1588974907140,15 minute delayed price,,1588945543184,15 minute delayed price,27.68,Close,"May 8, 2020",1588968000268,,,,,,,,,,,,,26.5,266614,1.18,0.04453,,,,327044,,,,,,,27.705,1588967995772,0.79863,1588968016655,false
CUI,NAS,CUI Global Inc.,cs,-0.372927,1.47,0.48,23463486,257,0.8952,0.786,27159814,34520.4,82774.33,-0.5312,,"CUI Global, Inc.",30420700,0.018621,-0.317434,-0.10314,-0.340769,-0.372927,-0.7127,-0.8542,-0.9198,-0.103244,0.100128,,,2020-05-11,,-1.45,0.7372265764921415,NASDAQ,close,,,official,,,official,,1588968000628,15 minute delayed price,,1588945254012,15 minute delayed price,0.7713,Close,"May 8, 2020",1588968000628,,,,,,,,,,,,,0.78,9963,-0.0087,-0.01115,,,,82774,,,,,,,0.878,1588257632564,-0.32855,1588968000628,false
CUTR,NAS,Cutera Inc.,cs,-0.33350900000000006,39.15,9.07,219109385,447,27.23,14.65,16647585,281084.9,339525.77,-1.1501,,"Cutera, Inc.",17320900,-0.01938,-0.532001,-0.658108,-0.65314,-0.333509,-0.767,-0.0886,-0.0964,0.002377,-0.05948,,,2020-08-05,,-11,0.914372207258792,NASDAQ,close,,,official,,,official,,1588970917522,15 minute delayed price,,1588944673293,15 minute delayed price,12.65,Close,"May 8, 2020",1588968000251,,,,,,,,,,,,,13.49,352701,-0.84,-0.06227,,,,339526,,,,,,,12.66,1588967999960,-0.71267,1588968000008,false
CVBF,NAS,CVB Financial Corp.,cs,-0.091207,22.23,14.92,2632978730,,20.58,19.0,127902599,699942.3,888358.47,1.3877,0.72,CVB Financial Corp.,135511000,-0.0167,-0.087793,-0.094172,-0.097119,-0.091207,-0.1452,0.2266,0.8435,0.010926,-0.05908,,0.03705609881626351,2020-07-15,2020-04-07,14,0.9591412464303661,NASDAQ,close,,,official,,,official,,1588968301772,15 minute delayed price,,1588949102129,15 minute delayed price,19.43,Close,"May 8, 2020",1588968000246,,,,,,,,,,,,,18.6,678386,0.83,0.04462,,,,888358,,,,,,,19.44,1588967994113,-0.053380000000000004,1588967998844,false
DISCA,NAS,Discovery Inc. Class A,cs,-0.258699,33.66,17.12,10686184474,9200,27.64,21.79,154236077,6531443.9,5211076.8,3.4623,,"Discovery, Inc.",160020000,1.0576,-0.3409,-0.0983,-0.258875,-0.345593,-0.31896,-0.293161,-0.055332,0.107987,-0.035673,,,2020-08-11,,6.09,0.9218796043062213,NASDAQ,close,,,official,,,official,,1588979863595,15 minute delayed price,,1588949937324,15 minute delayed price,21.09,Close,"May 8, 2020",1588968000686,,,,,,,,,,,,,20.53,7390038,0.56,0.02728,,,,5211077,,,,,,,21.07,1588967994409,-0.33011999999999997,1588967997549,false
CVCY,NAS,Central Valley Community Bancorp,cs,-0.292208,22.15,10.59,176776418,288,18.74,13.58,10511385,22671.9,26723.13,1.7349,0.44,Central Valley Community Bancorp,12475400,-0.000705,-0.269211,-0.317108,-0.341543,-0.292208,-0.3054,0.287,0.9545,0.174959,0.038095,,0.031051517290049402,2020-07-15,2020-04-30,8.17,1.5173318298026208,NASDAQ,close,,,official,,,official,,1588968017581,15 minute delayed price,,1588944600409,15 minute delayed price,14.17,Close,"May 8, 2020",1588968000194,,,,,,,,,,,,,13.38,13726,0.79,0.05904,,,,26723,,,,,,,14.2,1588967995637,-0.28496,1588968017581,false
CVET,NAS,Covetrus Inc.,cs,-0.6052190000000001,30.58,4.05,1319853600,5500,12.47,8.79,97049842,1696554.6,1672344.6,-8.6491,,"Covetrus, Inc.",111852000,0.106942,-0.092308,0.174129,-0.111446,-0.605219,-0.719,-0.719,-0.719,0.480552,0.404762,,,2020-05-14,,-1.36,1.3915421993206878,NASDAQ,close,,,official,,,official,,1588975357013,15 minute delayed price,,1588944746011,15 minute delayed price,11.8,Close,"May 8, 2020",1588968000512,,,,,,,,,,,,,11.1,901116,0.7,0.06306,,,,1672345,,,,,,,11.795,1588967981461,-0.048339999999999994,1588968000512,false
CVGI,NAS,Commercial Vehicle Group Inc.,cs,-0.7282179999999999,8.43,1.24,66829213,7347,5.53,2.14,28880868,297826.2,345716.67,0.6334,,"Commercial Vehicle Group, Inc.",31975700,0.019512,-0.569072,-0.708508,-0.672926,-0.728218,-0.7442,-0.6476,-0.8405,0.33121,0.259036,,,2020-08-06,,3.3,1.1317223659436593,NASDAQ,close,,,official,,,official,,1588972591908,15 minute delayed price,,1588944604844,15 minute delayed price,2.09,Close,"May 8, 2020",1588968000385,,,,,,,,,,,,,1.96,137759,0.13,0.06633,,,,345717,,,,,,,2.08,1588967994163,-0.60707,1588968000385,false
CVGW,NAS,Calavo Growers Inc.,cs,-0.395009,100.58,48.31,1020555160,3657,80.03,58.51,16306460,181440.6,175716.0,1.7813,1.1,"Calavo Growers, Inc.",17614000,0.077152,-0.230647,-0.324472,-0.335627,-0.395009,-0.3872,0.1108,7.5837,0.083801,-0.092703,,0.01898515705902658,2020-06-08,2019-11-14,32.53,0.4930067699729574,NASDAQ,close,,,official,,,official,,1588968014581,15 minute delayed price,,1588950315222,15 minute delayed price,57.94,Close,"May 8, 2020",1588968000298,,,,,,,,,,,,,55.59,156628,2.35,0.04227,,,,175716,,,,,,,57.91,1588967991958,-0.31913,1588968014581,false
CVLT,NAS,CommVault Systems Inc.,cs,-0.10082,51.9,24.26,2094714950,2559,44.47,39.18,42742996,444047,674157.2,-0.3683,,"Commvault Systems, Inc.",46601000,0.09394,-0.101719,-0.098476,-0.005531,-0.10082,-0.338,0.0117,1.6441,0.173323,0.075616,,,2020-05-12,,-122.05,0.7324054127045599,NASDAQ,close,,,official,,,official,,1588968301806,15 minute delayed price,,1588947059239,IEX real time price,44.95,Close,"May 8, 2020",1588968000210,,,,,,,,,,,,,43.26,415834,1.69,0.03907,,,,674157,,,,,,,44.94,1588967996619,0.040870000000000004,1588967998762,false
CVLY,NAS,Codorus Valley Bancorp Inc.,cs,-0.38886299999999996,23.6,11.8,126443800,363,20.23,15.29,9375393,20260.5,20821.57,1.1471,0.64,"Codorus Valley Bancorp, Inc.",9764000,-0.04428,-0.415614,-0.411364,-0.436957,-0.388877,-0.5159,-0.2222,0.713,-0.084806,-0.172524,,0.04942084942084943,,2020-04-27,11.29,1.201738512620062,NASDAQ,close,,,official,,,official,,1588968014598,15 minute delayed price,,1588944600854,15 minute delayed price,12.95,Close,"May 8, 2020",1588968000180,,,,,,,,,,,,,12.4,11570,0.55,0.04435,,,,20822,,,,,,,12.705,1588954681399,-0.39385,1588968014598,false
