code,com_name,price,turnover,market_cap,pe,dividend,yearhigh,yearlow,date_update,day_priceinc,day_perceninc,downside,upside
9928,TIMES NEIGHBOR,5.97,33610000.0,5420000000.0,41.69,26.54,7.48,5.97,20/04/2020,0.11,1.88,0.0,0.25
3800,GCL-POLY ENERGY,0.239,33259999.999999996,4740000000.0,0.0,0.0,0.61,0.239,20/04/2020,0.0,0.0,0.0,1.55
576,ZHEJIANGEXPRESS,5.22,33240000.000000004,7480000000.0,5.55,26.54,9.68,5.22,20/04/2020,-0.03,-0.57,0.0,0.85
220,U-PRESID CHINA,7.38,33150000.0,31870000000.0,21.26,26.54,9.97,7.38,20/04/2020,-0.02,-0.27,0.0,0.35
3799,DALI FOODS,4.76,33090000.000000004,65180000000.00001,15.54,26.54,6.08,4.76,20/04/2020,-0.03,-0.63,0.0,0.28
2600,CHALCO,1.6,32830000.0,6310000000.0,39.7,0.0,3.43,1.6,20/04/2020,0.01,0.63,0.0,1.14
1941,YE XING GROUP,1.41,32360000.0,571480000.0,13.62,0.0,1.88,1.41,20/04/2020,-0.03,-2.08,0.0,0.33
100,CLEAR MEDIA,7.07,32100000.0,3820000000.0,0.0,0.0,7.08,7.07,20/04/2020,0.02,0.28,0.0,0.0
1071,HUADIAN POWER,2.37,32060000.000000004,4059999999.9999995,7.49,26.54,3.6,2.37,20/04/2020,-0.01,-0.42,0.0,0.52
8631,SUN KONG HLDGS,0.7,31840000.0,280000000.0,0.0,0.0,0.88,0.7,20/04/2020,-0.01,-1.41,0.0,0.26
2500,VENUS MEDTECH-B,54.15,31380000.0,9890000000.0,0.0,0.0,58.25,54.15,20/04/2020,0.3,0.56,0.0,0.08
1060,ALI PICTURES,0.95,31230000.0,25480000000.0,0.0,0.0,1.85,0.95,20/04/2020,0.0,0.0,0.0,0.95
486,RUSAL,2.64,31200000.0,40100000000.0,5.35,0.0,4.97,2.64,20/04/2020,-0.02,-0.75,0.0,0.88
683,KERRY PPT,21.6,30950000.0,31460000000.0,4.56,26.54,35.4,21.6,20/04/2020,-0.4,-1.82,0.0,0.64
816,HUADIAN FUXIN,1.34,30920000.0,3440000000.0,5.42,26.54,1.73,1.34,20/04/2020,-0.01,-0.74,0.0,0.29
3969,CHINA CRSC,3.86,30350000.0,7590000000.0,9.25,26.54,6.59,3.86,20/04/2020,-0.02,-0.52,0.0,0.71
358,JIANGXI COPPER,7.6,30210000.0,10540000000.0,9.88,26.54,11.38,7.6,20/04/2020,0.04,0.53,0.0,0.5
2208,GOLDWIND,7.46,30160000.0,5770000000.0,13.4,26.54,10.5,7.46,20/04/2020,-0.05,-0.67,0.0,0.41
2638,HKELECTRIC-SS,7.93,30140000.0,70070000000.0,30.12,26.54,8.1,7.93,20/04/2020,-0.03,-0.38,0.0,0.02
1317,MAPLELEAF EDU,2.37,30010000.0,7090000000.0,9.59,26.54,4.94,2.37,20/04/2020,0.03,1.28,0.0,1.08
548,SHENZHENEXPRESS,8.15,29610000.0,6090000000.0,6.42,26.54,11.76,8.15,20/04/2020,0.02,0.25,0.0,0.44
2009,BBMG,2.02,28710000.0,4720000000.0,5.35,26.54,3.07,2.02,20/04/2020,0.03,1.51,0.0,0.52
338,SHANGHAI PECHEM,2.09,28390000.0,7300000000.0,9.3,26.54,3.9,2.09,20/04/2020,0.02,0.97,0.0,0.87
2380,CHINA POWER,1.53,28390000.0,15000000000.0,10.72,26.54,2.1,1.53,20/04/2020,0.02,1.32,0.0,0.37
956,CHINA SUNTIEN,1.8,28300000.0,3310000000.0,4.52,0.0,2.46,1.8,20/04/2020,0.14,8.43,0.0,0.37
1888,KB LAMINATES,7.31,28240000.0,22520000000.0,9.38,26.54,10.02,7.31,20/04/2020,-0.07,-0.95,0.0,0.37
1308,SITC,7.21,28240000.0,19300000000.0,11.15,26.54,10.0,7.21,20/04/2020,-0.07,-0.96,0.0,0.39
3311,CHINA STATE CON,6.14,27690000.0,31000000000.0,5.73,26.54,8.6,6.14,20/04/2020,0.1,1.66,0.0,0.4
23,BANK OF E ASIA,16.64,27680000.0,48500000000.0,18.7,26.54,26.1,16.64,20/04/2020,-0.12,-0.72,0.0,0.57
1310,HKBN,13.48,27570000.0,17680000000.0,69.56,26.54,15.32,13.48,20/04/2020,0.16,1.2,0.0,0.14
2001,NEW HIGHER EDU,3.11,27320000.0,4790000000.0,11.11,26.54,3.91,3.11,20/04/2020,0.04,1.3,0.0,0.26
6128,EARTHASIA,4.09,26990000.0,1970000000.0,0.0,0.0,4.4,4.09,20/04/2020,-0.04,-0.97,0.0,0.08
2488,LAUNCH TECH,3.97,26780000.0,709260000.0,0.0,0.0,6.583,3.97,20/04/2020,-0.01,-0.25,0.0,0.66
1199,COSCO SHIP PORT,3.98,26530000.0,12580000000.0,5.2,26.54,9.16,3.98,20/04/2020,0.0,0.0,0.0,1.3
1996,RSUN PPT,2.44,26270000.0,8100000000.0,5.03,26.54,3.38,2.44,20/04/2020,0.02,0.83,0.0,0.39
468,GAPACK,2.69,26240000.0,3590000000.0,9.76,26.54,5.09,2.69,20/04/2020,0.15,5.91,0.0,0.89
1913,PRADA,27.0,26020000.0,69080000000.0,31.58,26.54,33.2,27.0,20/04/2020,0.8,3.05,0.0,0.23
2038,FIH,0.92,24870000.0,7540000000.0,0.0,0.0,2.23,0.92,20/04/2020,0.0,0.0,0.0,1.42
1208,MMG,1.41,24820000.0,11350000000.0,0.0,0.0,4.0,1.41,20/04/2020,0.0,0.0,0.0,1.84
10,HANG LUNG GROUP,17.42,24720000.0,23710000000.0,3.48,26.54,24.45,17.42,20/04/2020,0.08,0.46,0.0,0.4
1966,CHINA SCE GROUP,3.48,24420000.0,14550000000.0,3.75,26.54,4.9,3.48,20/04/2020,-0.04,-1.14,0.0,0.41
6110,TOPSPORTS,9.63,24190000.0,59710000000.0,0.0,26.54,11.28,9.63,20/04/2020,0.14,1.48,0.0,0.17
