names,openprice,upside,downside,dayVolatility,percenchange,weightedDayVolatility,high_close,volume traded %,tradedvol,tradedval,dayVolume,peratio,revenue,div_val,marketcap,operating_margin,net_profit_margin,debt_assets_ratio,shortdebt_over_profit,p_nav,profitMarginGrowth,cash_percen,Revenue growth,Operating Income growth,Net Income growth,Cash growth,"Total Receivables, Net growth","Accumulated Depreciation, Total growth",Total Assets growth,Total Current Liabilities growth,Total Long Term Debt growth,Total Debt growth,"Common Stock, Total growth",receiveables over revenue,cash over assets,long term debt over debt
Addvalue Tech,0.028,0.2857142857142856,-0.75,10.71,-3.45,7.260000000000001,3.57,0.07329946524064171,13992600.0,391792.8,0.007482673796791444,0.0,6640000.0,0.0,39280000.0,-48.743,-68.936,0.22704266088214028,-1.6703056768558953,4.830258302583026,0.0,0.010845986984815618,-0.22,0.8,0.38,-0.09,-0.21,0.0,-0.12,0.0,0.76,0.11,0.09,3.55,1.3,-1.87
Sunpower,0.44,0.4545454545454546,-0.46666666666666673,4.55,-3.3,1.25,3.41,0.02485715371653723,726500.0,319660.0,0.0009204241679441538,12.062068965517236,727110000.0,0.45213793103448263,336540000.0,6.66,4.143,0.4201634977111889,17.028007181328547,0.06553677305887992,0.47075373907892787,0.11285368078993394,0.28,0.41,0.35,0,0.09,0.22,0.34,0.23,4.12,0.78,0.03,0.48,0,10.91
Avi-Tech,0.385,0.16883116883116883,-0.4807692307692307,1.3,-1.28,0.020000000000000018,1.3,0.04378836597486115,220600.0,84931.0,0.001289681379713534,11.089054794520544,33720000.0,5.779219178082189,63950000.0,21.501,17.611,0.0014126787921596327,-5.794612794612795,0.723355118629174,0.0,0.6090411442698217,0.05,0.19,-0.07,-0.02,0.05,0.0,0.03,0.05,-0.52,-0.48,0.0,0.11,-3.17,1.34
GSS Energy,0.071,0.7183098591549297,-0.9722222222222222,4.23,0.0,4.23,2.82,0.4053053173932295,6017600.0,427249.6,0.012111258704665298,16.658375,97550000.0,0.0,26830000.0,4.463,1.397,0.08996088657105607,-0.6502463054187193,0.4521540630607537,0.0,0.10717079530638854,0.02,-0.65,-0.74,0.19,0.19,0.1,0.21,0.08,0.0,8.82,-0.2,-0.52,-12.88,0.0
Micro-Mechanics,1.67,0.19760479041916174,-0.265151515151515,3.59,-2.34,1.25,3.59,0.006689203768970726,64700.0,108049.0,0.00046536718693807093,19.09057407407407,59910000.0,6.363524691358023,225230000.0,26.786,20.301,0.025901545506582715,-1.444078947368421,2.57662967484186,1.6457637412693593,0.31539782484258727,0.04,0.04,0.04,0.12,0.01,0.09,0.06,0.04,-0.25,-0.18,0.0,0.6,-5.09,1.37
ASTI,0.033,0.7878787878787877,-0.9411764705882353,9.09,0.0,9.09,9.09,0.12315000076367358,8020800.0,264686.4,0.012250546026606387,3.0080769230769233,65209999.99999999,126.92307692307692,17050000.0,33.095,31.086,0.050824175824175824,-2.7727930535455863,0.17844474727452925,-1.42506450423885,0.23881475667189953,-0.08,-0.27,-3.38,0,-0.04,0.0,-0.05,-0.14,0.36,-0.02,0.0,-2.74,0,-1.01
Jadason,0.024,1.0,-0.8461538461538463,4.17,-4.0,0.16999999999999993,4.17,0.03579734219269103,1868900.0,44853.6,0.0025870708748615724,0.0,44250000.0,0.0,15250000.0,-36.281,-38.848,0.2895989123045547,-0.3379872018615474,0.3269394682255327,0.0,0.1908565601631543,-0.08,6.58,2.46,0,-0.07,0.0,-0.1,-0.16,-1.0,1.06,0.0,0.96,0,1.82
Powermatic Data,2.49,0.144578313253012,-0.6327868852459019,0.0,-0.4,-0.4,0.0,0.010872675250357653,5100.0,12699.0,0.00014592274678111588,,26500000.0,,76980000.0,42.424,37.979,0.0,-3.393247269116187,0.0,4.285539215686275,0.3709944335790582,0.11,0.27,0.29,0,-0.11,0.0,0.07,0.26,0.0,0.0,-0.0,26.99,0,0.0
G Invacom,0.088,1.1022727272727273,-1.0,6.82,-4.35,2.4700000000000006,5.68,0.10174482809394096,832800.0,73286.4,0.0030655967017595522,0.0,192040000.0,0.0,21740000.0,-9.325,-9.136,0.1984145764316138,-0.6400456360524814,0.31184555178711193,0.0,0.10541883577851396,0.01,-2.66,-2.54,0,-0.04,0.0,-0.01,0.02,0.0,0.34,0.0,3.26,0,0.0
Tai Sin Electric,0.28,0.23214285714285693,-0.07692307692307698,3.57,-3.45,0.11999999999999966,3.57,0.009364272367792118,117200.0,32816.0,0.0002546386824838135,8.173103448275862,329300000.0,7.622758620689655,131949999.99999999,5.504,4.708,0.1093030136523099,0.8923177938279712,0.566349373764008,-8.314527503526094,0.07109345280865632,0.04,-0.07,-0.06,-0.06,0.05,0.08,0.04,0.08,0.04,0.45,0.04,1.13,-4.55,0.3
MFG Integration,0.083,0.6987951807228913,-0.38333333333333347,8.43,-5.68,2.75,6.02,0.004997709383199367,85000.0,7055.0,0.0003540044146432885,0.0,0.0,246.8987341772152,19210000.0,0.0,0.0,0.10691348696637704,0.0,0.6120740171990172,-0.9498092072870506,0.33698526633925197,-0.3,-12.0,-3.31,0,-0.35,0.0,-0.16,-0.11,-0.69,13.89,-0.09,0.04,0,2.61
Serial System,0.063,0.9047619047619047,-0.4000000000000001,7.94,-8.7,-0.7599999999999989,7.94,0.0020427754956242185,89600.0,5644.8,0.00010001786033220218,,1130220000.0,,62500000.0,0.916,0.828,0.33200739105887184,5.893635571054926,0.1648737109637463,2.474518037793472,0.21049119745419084,-0.06,-0.02,0.2,-0.01,-0.06,0.08,-0.03,-0.06,0.16,-0.08,0.0,-1.3,1.76,-5.7
InnoTek,0.35,0.7400000000000001,-0.16666666666666663,2.86,-2.78,0.08000000000000007,1.43,0.008174627723034775,134600.0,47110.0,0.0005947594008218815,5.000138888888889,186720000.0,2.5929166666666674,92500000.0,10.366,8.921,0.09713304159339087,-2.940576230492197,0.2698756388415673,0.0,0.2974929450738211,-0.05,-0.36,-0.25,0,-0.03,0.0,0.05,-0.07,341.97,98.44,0.0,-2.56,0,1.57
P5 Capital,0.026,0.6153846153846155,-12.0,15.38,8.33,7.050000000000001,3.85,0.11676711149375806,5104500.0,132717.0,0.009155725355144211,0.0,9770000.0,0.0,11710000.0,-8.546,-1.249,0.00812536273940801,88.33333333333333,0.5702407553107789,0.0,0.4834590829947766,0.08,-13.79,0.97,0,0.02,0.0,-0.06,0.14,-0.17,0.12,0.03,-0.88,0,-0.3
Accrelist Ltd,0.031,2.2258064516129035,-0.9375,0.0,6.9,-6.9,0.0,0.007630579637457906,1000000.0,31000.0,0.0035824317546750734,0.0,160250000.0,0.0,6980000.0,-0.917,-1.136,0.1961096044141027,-6.1875,0.09146327026741359,24.124473381846034,0.08089404283175909,31.9,10.76,-2.15,0,0.06,0.0,0.19,1.54,0.34,1.06,0.03,0.19,0,0.33
Adventus,0.005,0.7999999999999998,-1.5,20.0,0.0,20.0,20.0,0.010276923076923078,2916800.0,14584.0,0.0014957948717948717,0.0,0.0,0.0,9750000.0,0.0,0.0,0.28989657915672234,0.0,0.2053496208930076,0.0,0.045346062052505964,0,0.47,-1.06,0,4.2,0.0,0.13,6.21,-0.07,-0.06,0.0,0,0,1.25
Dutech,0.24,0.27083333333333337,-0.256544502617801,2.08,0.0,2.08,0.0,0.0020194087619902394,67500.0,16200.0,0.00018931957143658495,5.361951219512195,379660000.0,5.710829268292683,73090000.0,6.56,4.203,0.11782142878748465,-3.4592731829573933,0.044411827292874455,-0.9215337324057595,0.28341026370076405,0.12,0.22,-0.03,0.17,0.12,0.0,0.16,0.27,0.8,0.48,-0.08,1.06,-0.74,5.19
Miyoshi,0.029,1.0344827586206895,-0.38095238095238093,6.9,-3.33,3.5700000000000003,3.45,0.026431863067807766,1867000.0,54143.0,0.003072745227123107,0.0,52950000.0,7.955666666666669,16540000.0,-9.591,-10.556,0.0990146028730856,-0.8791208791208791,0.2229583702391497,0.0,0.03727887925917132,-0.0,-0.18,-0.01,0.06,0.03,0.0,0.04,0.1,0.12,0.15,0.12,0.81,3.95,114.45
PNE Industries,0.815,0.13987730061349707,-0.23484848484848472,1.84,0.62,1.2200000000000002,0.0,0.005719733079122974,32100.0,26161.5,0.0003825071496663489,8.397804054054056,102180000.0,7.441831081081082,62100000.0,9.887,7.97,0.0,-5.093366093366093,0.0,-1.5728587319243603,0.3996144578313253,0.1,0.04,0.23,0,0.05,0.0,0.05,0.11,0.0,0.0,0.0,1.55,0,0.0
