symbol,company,price,change,percen_change,volume,market_cap,sector,industry,pe_ratio,forward_pe,one_yr_tar,eps,day_high_low,div,yield,ex_div_date,div_pay_date,fifty_day_vol,year_high_low,beta
BNTGY,Brenntag AG Muehleim/Ruhr ADR,$8.50,+0.16,1.92%,"32,606",N/A,N/A,N/A,N/A,N/A,N/A,N/A,$8.56/$8.38,N/A,N/A,N/A,N/A,0,N/A,
LKQ,LKQ Corporation Common Stock,$21.33,+0.865,4.23%,"2,620,968","6,563,047,388",Consumer Services,Motor Vehicles,12.26,10.08,$34.00,$1.74,$21.75/$20.62,N/A,N/A,N/A,N/A,"3,278,620",$36.63/$13.31,1
KRC,Kilroy Realty Corporation Common Stock,$61.81,+0.06,0.1%,"1,566,918","6,562,418,013",Consumer Services,Real Estate Investment Trusts,33.41,15.52,$77.50,$1.85,$62.81/$61.55,$1.94,3.17%,"Mar 30, 2020","Apr 15, 2020",,$88.99/$45.96,1
SKSUF,Sekisui Chemical Co Ltd,$14.54,--,--,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,
SZEVY,SUEZ ADR Repstg 1/2 Com Shs,$5.22,+0.12,2.35%,"27,039",N/A,N/A,N/A,N/A,N/A,N/A,N/A,$5.24/$5.13,N/A,N/A,N/A,N/A,0,N/A,
WHR,Whirlpool Corporation Common Stock,$104.58,+2.33,2.28%,"900,758","6,554,839,409",Consumer Durables,Consumer Electronics/Appliances,5.67,7.57,$115.00,$18.44,$105.06/$101.76,$4.80,4.83%,"May 14, 2020","Jun 15, 2020",,$163.64/$64.00,1
REYN,Reynolds Consumer Products Inc. Common Stock,$31.23,+0.17,0.55%,"577,019","6,548,946,615",Consumer Durables,Containers/Packaging,N/A,17.95,$34.00,N/A,$32.65/$30.30,$0.60,1.96%,"Mar 13, 2020","Apr 30, 2020","816,437",$33.22/$21.61,
AOS,A.O. Smith Corporation Common Stock,$40.39,+0.75,1.89%,"1,216,457","6,543,387,201",Consumer Durables,Consumer Electronics/Appliances,18.11,19.34,$42.50,$2.23,$40.46/$39.12,$0.96,2.48%,"Apr 29, 2020","May 15, 2020",,$56.49/$33.80,1
ALB,Albemarle Corporation Common Stock,$61.53,+0.87,1.43%,"1,010,896","6,541,784,319",Basic Industries,Major Chemicals,12.26,13.51,$70.00,$5.02,$61.96/$59.68,$1.54,2.59%,"Mar 12, 2020","Apr 1, 2020",,$99.40/$48.89,1
EMBVF,Arca Continental Sab De C,$3.72,-0.4338,10.44%,"1,000",N/A,N/A,N/A,N/A,N/A,N/A,N/A,$3.72/$3.72,N/A,N/A,N/A,N/A,0,N/A,
OLED,Universal Display Corporation Common Stock,$138.52,+0.87,0.63%,"321,328","6,536,453,086",Capital Goods,Electrical Products,47.44,43.29,$200.00,$2.92,$139.49/$136.09,$0.60,0.44%,"Mar 16, 2020","Mar 31, 2020","712,170",$230.32/$105.11,1
SCI,Service Corporation International Common Stock,$35.96,-1.15,3.1%,"926,727","6,513,302,863",Consumer Services,Other Consumer Services,18.07,23.34,$47.50,$1.99,$37.39/$35.86,$0.76,2.06%,"Mar 12, 2020","Mar 31, 2020",,$52.89/$34.37,1
AHEXY,Adecco Group AG ADR,$20.0515,-0.0185,0.09%,"66,540",N/A,N/A,N/A,N/A,N/A,N/A,N/A,$20.17/$19.75,N/A,N/A,N/A,N/A,0,N/A,
HUBB,Hubbell Inc Common Stock,$119.43,+0.74,0.62%,"385,864","6,494,424,136",Capital Goods,Electrical Products,16.36,16.53,$138.00,$7.30,$120.89/$118.91,$3.64,3.09%,"Feb 27, 2020","Mar 16, 2020",,$155.00/$85.62,1
NTXFY,NATIXIS SA ADR,$20.58,-1.87,8.33%,704,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$21.00/$20.22,N/A,N/A,N/A,N/A,0,N/A,
OBYCF,Obayashi Corp,$9.0285,--,--,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,
RPGRF,REA Group Ltd,$49.12,--,--,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,
CINSF,China Taiping Insurance Holding Co. Ltd.,$1.80,--,--,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,
TMICF,Trend Micro Inc,$46.51,--,--,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,
CRPJF,China Resources Power Holdings Co Ltd,$1.35,--,--,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,
